"",BBK01.OEAD06J,BBK01.OEAD06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:17,
2002-01,0.322,
2002-04,0.302,
2002-07,0.294,
2002-10,0.246,
2003-01,0.245,
2003-04,0.253,
2003-07,0.242,
2003-10,0.247,
2004-01,0.245,
2004-04,0.222,
2004-07,0.223,
2004-10,0.228,
2005-01,0.217,
2005-04,0.235,
2005-07,0.251,
2005-10,0.261,
2006-01,0.265,
2006-04,0.264,
2006-07,0.273,
2006-10,0.272,
2007-01,0.334,
2007-04,0.357,
2007-07,0.445,
2007-10,0.300,
2008-01,0.333,
2008-04,0.335,
2008-07,0.393,
2008-10,0.399,
2009-01,0.355,
2009-04,0.363,
2009-07,0.345,
2009-10,0.323,
2010-01,0.215,
2010-04,0.293,
2010-07,0.284,
2010-10,0.295,
2011-01,0.300,
2011-04,0.297,
2011-07,0.335,
2011-10,0.269,
2012-01,0.285,
2012-04,0.267,
2012-07,0.294,
2012-10,0.352,
2013-01,0.371,
2013-04,0.346,
2013-07,0.326,
2013-10,0.407,
2014-01,0.389,
2014-04,0.381,
2014-07,0.345,
