"",BBK01.OEXO04J,BBK01.OEXO04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:22,
2002-01,-0.011,
2002-04,-0.022,
2002-07,-0.020,
2002-10,-0.016,
2003-01,-0.013,
2003-04,-0.017,
2003-07,-0.009,
2003-10,-0.019,
2004-01,-0.029,
2004-04,-0.018,
2004-07,-0.015,
2004-10,0.002,
2005-01,0.005,
2005-04,-0.001,
2005-07,-0.019,
2005-10,-0.003,
2006-01,-0.002,
2006-04,-0.001,
2006-07,-0.006,
2006-10,-0.001,
2007-01,0.017,
2007-04,0.009,
2007-07,0.006,
2007-10,0.013,
2008-01,0.009,
2008-04,0.001,
2008-07,-0.002,
2008-10,0.081,
2009-01,0.014,
2009-04,0.007,
2009-07,0.039,
2009-10,-0.034,
2010-01,-0.044,
2010-04,0.003,
2010-07,-0.014,
2010-10,0.038,
2011-01,0.024,
2011-04,-0.008,
2011-07,-0.006,
2011-10,-0.007,
2012-01,-0.046,
2012-04,-0.005,
2012-07,-0.031,
2012-10,-0.027,
2013-01,-0.045,
2013-04,-0.026,
2013-07,-0.012,
2013-10,-0.003,
2014-01,-0.007,
2014-04,-0.013,
2014-07,0.009,
