"",BBK01.OEHO05J,BBK01.OEHO05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:24,
2002-01,0.001,
2002-04,0.003,
2002-07,0.003,
2002-10,0.100,
2003-01,-,Nothing exists
2003-04,0.002,
2003-07,0.004,
2003-10,0.089,
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,0.001,
2004-10,0.092,
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.003,
2005-10,0.098,
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,0.001,
2006-10,0.105,
2007-01,-,Nothing exists
2007-04,0.002,
2007-07,0.004,
2007-10,0.116,
2008-01,0.001,
2008-04,0.003,
2008-07,0.006,
2008-10,0.107,
2009-01,0.002,
2009-04,0.003,
2009-07,0.008,
2009-10,0.070,
2010-01,-,Nothing exists
2010-04,0.004,
2010-07,0.004,
2010-10,0.044,
2011-01,0.001,
2011-04,-,Nothing exists
2011-07,0.001,
2011-10,0.040,
2012-01,-,Nothing exists
2012-04,0.001,
2012-07,-,Nothing exists
2012-10,0.043,
2013-01,-,Nothing exists
2013-04,0.001,
2013-07,-,Nothing exists
2013-10,0.035,
2014-01,-,Nothing exists
2014-04,0.001,
2014-07,0.001,
