"",BBFN1.M.DE.N.1.A.JP.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:39,
1982-09,0.053,
1982-10,0.052,
1982-11,0.052,
1982-12,0.055,
1983-01,0.046,
1983-02,0.051,
1983-03,0.050,
1983-04,0.047,
1983-05,0.048,
1983-06,0.065,
1983-07,0.046,
1983-08,0.044,
1983-09,0.061,
1983-10,0.060,
1983-11,0.055,
1983-12,0.049,
1984-01,0.044,
1984-02,0.041,
1984-03,0.055,
1984-04,0.054,
1984-05,0.052,
1984-06,0.053,
1984-07,0.053,
1984-08,0.050,
1984-09,0.047,
1984-10,0.053,
1984-11,0.053,
1984-12,0.058,
1985-01,0.046,
1985-02,0.052,
1985-03,0.058,
1985-04,0.051,
1985-05,0.049,
1985-06,0.046,
1985-07,0.056,
1985-08,0.053,
1985-09,0.066,
1985-10,0.069,
1985-11,0.068,
1985-12,0.052,
1986-01,0.059,
1986-02,0.061,
1986-03,0.066,
1986-04,0.065,
1986-05,0.060,
1986-06,0.059,
1986-07,0.081,
1986-08,0.059,
1986-09,0.061,
1986-10,0.070,
1986-11,0.073,
1986-12,0.063,
1987-01,0.062,
1987-02,0.066,
1987-03,0.071,
1987-04,0.068,
1987-05,0.069,
1987-06,0.067,
1987-07,0.074,
1987-08,0.084,
1987-09,0.109,
1987-10,0.157,
1987-11,0.177,
1987-12,0.133,
1988-01,0.163,
1988-02,0.170,
1988-03,0.263,
1988-04,0.324,
1988-05,0.374,
1988-06,0.425,
1988-07,0.608,
1988-08,0.536,
1988-09,0.643,
1988-10,0.700,
1988-11,0.563,
1988-12,0.415,
1989-01,0.506,
1989-02,0.464,
1989-03,0.806,
1989-04,0.745,
1989-05,0.782,
1989-06,0.967,
1989-07,0.964,
1989-08,1.017,
1989-09,0.937,
1989-10,1.239,
1989-11,1.072,
1989-12,0.897,
1990-01,0.737,
1990-02,0.744,
1990-03,0.784,
1990-04,0.628,
1990-05,0.692,
1990-06,0.720,
1990-07,0.803,
1990-08,0.782,
1990-09,0.527,
1990-10,0.390,
1990-11,0.292,
1990-12,0.375,
1991-01,0.382,
1991-02,0.495,
1991-03,0.480,
1991-04,0.494,
1991-05,0.506,
1991-06,0.368,
1991-07,0.534,
1991-08,0.647,
1991-09,0.509,
1991-10,0.552,
1991-11,0.512,
1991-12,0.495,
1992-01,0.551,
1992-02,0.583,
1992-03,1.082,
1992-04,1.337,
1992-05,1.431,
1992-06,1.530,
1992-07,1.512,
1992-08,1.246,
1992-09,0.931,
1992-10,1.011,
1992-11,1.026,
1992-12,0.989,
1993-01,1.963,
1993-02,1.733,
1993-03,1.993,
1993-04,2.080,
1993-05,1.677,
1993-06,1.323,
1993-07,1.495,
1993-08,1.511,
1993-09,1.189,
1993-10,1.188,
1993-11,1.293,
1993-12,0.872,
1994-01,1.405,
1994-02,1.036,
1994-03,1.118,
1994-04,1.238,
1994-05,1.189,
1994-06,1.079,
1994-07,1.471,
1994-08,1.450,
1994-09,1.053,
1994-10,1.431,
1994-11,0.956,
1994-12,0.725,
1995-01,0.717,
1995-02,0.852,
1995-03,0.762,
1995-04,0.833,
1995-05,0.673,
1995-06,0.951,
1995-07,1.362,
1995-08,1.137,
1995-09,0.994,
1995-10,1.283,
1995-11,1.035,
1995-12,0.859,
1996-01,1.458,
1996-02,1.459,
1996-03,1.511,
1996-04,1.750,
1996-05,1.838,
1996-06,1.728,
1996-07,2.085,
1996-08,2.227,
1996-09,2.285,
1996-10,2.503,
1996-11,1.985,
1996-12,1.566,
1997-01,2.138,
1997-02,2.414,
1997-03,2.164,
1997-04,1.772,
1997-05,1.715,
1997-06,1.437,
1997-07,1.505,
1997-08,1.448,
1997-09,1.156,
1997-10,1.378,
1997-11,1.219,
1997-12,1.222,
1998-01,1.246,
1998-02,1.237,
1998-03,1.248,
1998-04,1.152,
1998-05,1.050,
1998-06,1.068,
1998-07,1.038,
1998-08,1.152,
1998-09,1.212,
1998-10,1.605,
1998-11,1.626,
1998-12,1.231,
1999-01,1.389,
1999-02,1.340,
1999-03,1.525,
1999-04,1.289,
1999-05,1.121,
1999-06,1.405,
1999-07,1.413,
1999-08,1.673,
1999-09,1.041,
1999-10,1.226,
1999-11,1.279,
1999-12,1.188,
2000-01,1.360,
2000-02,1.475,
2000-03,1.504,
2000-04,1.730,
2000-05,1.453,
2000-06,1.394,
2000-07,1.211,
2000-08,1.212,
2000-09,1.303,
2000-10,1.404,
2000-11,1.264,
2000-12,1.162,
2001-01,1.224,
2001-02,1.207,
2001-03,1.519,
2001-04,2.253,
2001-05,2.183,
2001-06,2.185,
2001-07,2.057,
2001-08,1.607,
2001-09,1.554,
2001-10,1.874,
2001-11,1.320,
2001-12,1.326,
2002-01,1.356,
2002-02,1.354,
2002-03,1.275,
2002-04,1.420,
2002-05,1.437,
2002-06,1.444,
2002-07,1.483,
2002-08,1.421,
2002-09,1.492,
2002-10,1.641,
2002-11,1.479,
2002-12,1.501,
2003-01,1.567,
2003-02,1.464,
2003-03,1.687,
2003-04,1.487,
2003-05,1.554,
2003-06,1.438,
2003-07,1.436,
2003-08,1.225,
2003-09,1.390,
2003-10,1.344,
2003-11,1.328,
2003-12,1.461,
2004-01,1.436,
2004-02,1.609,
2004-03,1.637,
2004-04,1.565,
2004-05,1.685,
2004-06,1.659,
2004-07,1.579,
2004-08,1.731,
2004-09,1.636,
2004-10,1.671,
2004-11,1.618,
2004-12,1.789,
2005-01,1.520,
2005-02,1.484,
2005-03,1.526,
2005-04,1.657,
2005-05,1.831,
2005-06,2.105,
2005-07,2.128,
2005-08,2.186,
2005-09,2.222,
2005-10,1.782,
2005-11,2.276,
2005-12,2.225,
2006-01,3.115,
2006-02,3.243,
2006-03,2.125,
2006-04,2.075,
2006-05,2.103,
2006-06,1.972,
2006-07,1.922,
2006-08,1.735,
2006-09,1.871,
2006-10,1.923,
2006-11,1.890,
2006-12,1.783,
2007-01,2.286,
2007-02,1.946,
2007-03,1.981,
2007-04,1.867,
2007-05,1.785,
2007-06,1.636,
2007-07,1.648,
2007-08,1.995,
2007-09,1.926,
2007-10,2.141,
2007-11,2.121,
2007-12,2.024,
2008-01,2.025,
2008-02,1.956,
2008-03,2.072,
2008-04,2.186,
2008-05,2.136,
