"",BBK01.OEXO02N,BBK01.OEXO02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:21,
2002-01,6.998,
2002-04,5.458,
2002-07,5.102,
2002-10,7.781,
2003-01,6.789,
2003-04,5.486,
2003-07,6.198,
2003-10,6.540,
2004-01,6.903,
2004-04,5.489,
2004-07,5.065,
2004-10,4.201,
2005-01,2.457,
2005-04,1.769,
2005-07,1.882,
2005-10,2.210,
2006-01,2.307,
2006-04,2.338,
2006-07,2.078,
2006-10,2.352,
2007-01,3.847,
2007-04,2.716,
2007-07,2.845,
2007-10,3.193,
2008-01,3.332,
2008-04,2.817,
2008-07,2.982,
2008-10,5.893,
2009-01,3.156,
2009-04,2.612,
2009-07,3.042,
2009-10,2.947,
2010-01,2.394,
2010-04,1.824,
2010-07,1.805,
2010-10,3.140,
2011-01,3.246,
2011-04,2.142,
2011-07,1.874,
2011-10,2.060,
2012-01,2.194,
2012-04,1.828,
2012-07,1.730,
2012-10,1.609,
2013-01,1.581,
2013-04,1.360,
2013-07,1.329,
2013-10,1.370,
2014-01,1.379,
2014-04,1.157,
2014-07,1.987,
