"",BBK01.OELJ08G,BBK01.OELJ08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:03,
2002-01,0.186,
2002-04,0.191,
2002-07,0.189,
2002-10,0.187,
2003-01,0.196,
2003-04,0.202,
2003-07,0.210,
2003-10,0.217,
2004-01,0.231,
2004-04,0.235,
2004-07,0.238,
2004-10,0.226,
2005-01,0.246,
2005-04,0.258,
2005-07,0.268,
2005-10,0.279,
2006-01,0.278,
2006-04,0.285,
2006-07,0.280,
2006-10,0.267,
2007-01,0.262,
2007-04,0.250,
2007-07,0.247,
2007-10,0.243,
2008-01,0.233,
2008-04,0.241,
2008-07,0.242,
2008-10,0.233,
2009-01,0.255,
2009-04,0.285,
2009-07,0.324,
2009-10,0.360,
2010-01,0.400,
2010-04,0.414,
2010-07,0.441,
2010-10,0.466,
2011-01,0.494,
2011-04,0.489,
2011-07,0.503,
2011-10,0.488,
2012-01,0.492,
2012-04,0.507,
2012-07,0.526,
2012-10,0.546,
2013-01,0.547,
2013-04,0.552,
2013-07,0.522,
2013-10,0.513,
2014-01,0.515,
2014-04,0.520,
2014-07,0.533,
