"",BBK01.OEAH90I,BBK01.OEAH90I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:52,
2002-01,-,Nothing exists
2002-04,0.076,
2002-07,0.110,
2002-10,0.133,
2003-01,0.132,
2003-04,0.126,
2003-07,0.127,
2003-10,0.126,
2004-01,0.128,
2004-04,0.035,
2004-07,0.003,
2004-10,0.003,
2005-01,0.001,
2005-04,0.001,
2005-07,0.001,
2005-10,0.001,
2006-01,0.001,
2006-04,0.001,
2006-07,0.002,
2006-10,0.002,
2007-01,0.003,
2007-04,0.004,
2007-07,0.002,
2007-10,0.003,
2008-01,0.002,
2008-04,0.001,
2008-07,0.001,
2008-10,0.003,
2009-01,0.011,
2009-04,0.011,
2009-07,0.010,
2009-10,0.008,
2010-01,0.007,
2010-04,0.007,
2010-07,0.006,
2010-10,0.007,
2011-01,0.005,
2011-04,0.008,
2011-07,0.008,
2011-10,0.012,
2012-01,0.014,
2012-04,0.012,
2012-07,0.010,
2012-10,0.010,
2013-01,0.003,
2013-04,0.003,
2013-07,0.003,
2013-10,0.003,
2014-01,0.003,
2014-04,0.003,
2014-07,0.009,
