"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.NL.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.NL.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:56,
2009-09,4034,
2009-10,4050,
2009-11,3756,
2009-12,4284,
2010-01,4167,
2010-02,4132,
2010-03,4378,
2010-04,4528,
2010-05,4439,
2010-06,4440,
2010-07,4511,
2010-08,4354,
2010-09,4477,
2010-10,4611,
2010-11,4530,
2010-12,4846,
2011-01,4884,
2011-02,4881,
2011-03,4793,
2011-04,4751,
2011-05,4761,
2011-06,4743,
2011-07,4654,
2011-08,3944,
2011-09,3747,
2011-10,3860,
2011-11,3869,
2011-12,3931,
2012-01,3931,
2012-02,3954,
2012-03,3927,
2012-04,3789,
2012-05,3628,
2012-06,3835,
2012-07,4024,
2012-08,4068,
2012-09,4062,
2012-10,4188,
2012-11,4223,
2012-12,4387,
2013-01,4588,
2013-02,4526,
2013-03,4662,
2013-04,4893,
2013-05,5144,
2013-06,5070,
2013-07,5433,
2013-08,5338,
2013-09,5549,
2013-10,5787,
2013-11,5941,
2013-12,6057,
2014-01,5842,
2014-02,5950,
2014-03,5947,
2014-04,5742,
2014-05,5839,
2014-06,5880,
2014-07,5621,
2014-08,5769,
2014-09,5894,
2014-10,5702,
2014-11,5897,
