"",BBK01.OEAH16G,BBK01.OEAH16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:11,
2002-01,75.437,
2002-04,79.591,
2002-07,78.588,
2002-10,84.622,
2003-01,86.042,
2003-04,89.314,
2003-07,90.106,
2003-10,93.451,
2004-01,93.046,
2004-04,95.710,
2004-07,97.047,
2004-10,97.471,
2005-01,82.064,
2005-04,85.564,
2005-07,87.228,
2005-10,88.662,
2006-01,88.871,
2006-04,92.537,
2006-07,92.585,
2006-10,95.877,
2007-01,99.767,
2007-04,102.708,
2007-07,102.654,
2007-10,102.794,
2008-01,102.263,
2008-04,106.903,
2008-07,102.840,
2008-10,113.149,
2009-01,120.332,
2009-04,128.820,
2009-07,134.319,
2009-10,138.479,
2010-01,143.221,
2010-04,145.906,
2010-07,146.910,
2010-10,150.397,
2011-01,143.956,
2011-04,148.096,
2011-07,151.935,
2011-10,153.393,
2012-01,159.971,
2012-04,163.491,
2012-07,170.551,
2012-10,173.098,
2013-01,175.177,
2013-04,182.797,
2013-07,181.166,
2013-10,187.382,
2014-01,186.821,
2014-04,192.700,
2014-07,191.005,
