"",BBK01.OEAH27U,BBK01.OEAH27U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:20,
2002-01,1.565,
2002-04,1.529,
2002-07,1.582,
2002-10,1.583,
2003-01,1.512,
2003-04,1.436,
2003-07,1.374,
2003-10,1.321,
2004-01,1.306,
2004-04,1.281,
2004-07,1.282,
2004-10,1.358,
2005-01,1.358,
2005-04,1.327,
2005-07,1.267,
2005-10,1.397,
2006-01,1.492,
2006-04,1.502,
2006-07,1.582,
2006-10,1.635,
2007-01,1.772,
2007-04,1.831,
2007-07,1.989,
2007-10,2.089,
2008-01,2.009,
2008-04,2.064,
2008-07,2.059,
2008-10,2.348,
2009-01,2.269,
2009-04,2.177,
2009-07,1.965,
2009-10,2.062,
2010-01,1.915,
2010-04,1.826,
2010-07,1.647,
2010-10,1.559,
2011-01,1.468,
2011-04,1.475,
2011-07,1.424,
2011-10,1.365,
2012-01,1.322,
2012-04,1.303,
2012-07,1.264,
2012-10,1.182,
2013-01,1.027,
2013-04,0.927,
2013-07,0.884,
2013-10,0.857,
2014-01,0.844,
2014-04,0.839,
2014-07,0.873,
