"",BBK01.OEAH92L,BBK01.OEAH92L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:35,
2002-01,0.384,
2002-04,0.377,
2002-07,0.368,
2002-10,0.371,
2003-01,0.400,
2003-04,0.293,
2003-07,0.295,
2003-10,0.311,
2004-01,0.299,
2004-04,0.299,
2004-07,0.321,
2004-10,0.293,
2005-01,0.315,
2005-04,0.318,
2005-07,0.314,
2005-10,0.291,
2006-01,0.300,
2006-04,0.317,
2006-07,0.314,
2006-10,3.273,
2007-01,3.273,
2007-04,3.874,
2007-07,4.645,
2007-10,5.147,
2008-01,6.239,
2008-04,8.087,
2008-07,8.596,
2008-10,8.571,
2009-01,8.877,
2009-04,8.573,
2009-07,9.659,
2009-10,9.737,
2010-01,10.083,
2010-04,10.602,
2010-07,10.035,
2010-10,10.172,
2011-01,9.842,
2011-04,9.727,
2011-07,10.091,
2011-10,10.277,
2012-01,10.138,
2012-04,10.377,
2012-07,10.302,
2012-10,10.173,
2013-01,10.273,
2013-04,10.201,
2013-07,9.983,
2013-10,9.874,
2014-01,8.258,
2014-04,8.282,
2014-07,8.618,
