"",BBK01.OEAH08L,BBK01.OEAH08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:06,
2002-01,10.186,
2002-04,10.228,
2002-07,10.170,
2002-10,10.148,
2003-01,10.019,
2003-04,9.653,
2003-07,9.414,
2003-10,9.526,
2004-01,9.652,
2004-04,9.951,
2004-07,9.914,
2004-10,9.780,
2005-01,9.468,
2005-04,9.276,
2005-07,9.061,
2005-10,9.025,
2006-01,9.211,
2006-04,9.388,
2006-07,9.832,
2006-10,13.251,
2007-01,13.981,
2007-04,15.289,
2007-07,16.885,
2007-10,18.680,
2008-01,20.267,
2008-04,22.762,
2008-07,23.835,
2008-10,24.419,
2009-01,22.878,
2009-04,20.774,
2009-07,20.565,
2009-10,19.464,
2010-01,19.192,
2010-04,19.624,
2010-07,18.842,
2010-10,19.249,
2011-01,19.004,
2011-04,19.361,
2011-07,19.880,
2011-10,20.606,
2012-01,20.522,
2012-04,20.692,
2012-07,20.488,
2012-10,20.294,
2013-01,19.863,
2013-04,19.234,
2013-07,18.709,
2013-10,18.619,
2014-01,16.967,
2014-04,17.015,
2014-07,17.456,
