"",BBFB1.Q.N.DE.W03100.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:22,
1991-01,11755.542,
1991-04,11430.771,
1991-07,13285.298,
1991-10,14426.293,
1992-01,12741.542,
1992-04,12136.815,
1992-07,12747.851,
1992-10,12879.733,
1993-01,12590.042,
1993-04,12756.596,
1993-07,13218.855,
1993-10,15054.018,
1994-01,13929.410,
1994-04,15072.949,
1994-07,14927.648,
1994-10,16206.525,
1995-01,15226.342,
1995-04,14441.098,
1995-07,14902.029,
1995-10,17395.090,
1996-01,14758.440,
1996-04,15562.549,
1996-07,17117.022,
1996-10,18979.301,
1997-01,15987.881,
1997-04,18672.723,
1997-07,21044.297,
1997-10,21315.155,
1998-01,18596.520,
1998-04,18816.152,
1998-07,19206.458,
1998-10,17534.289,
1999-01,15430.496,
1999-04,17404.330,
1999-07,18746.716,
1999-10,20032.532,
2000-01,17732.334,
2000-04,20432.994,
2000-07,22589.358,
2000-10,23577.582,
2001-01,22728.461,
2001-04,25192.586,
2001-07,25491.825,
2001-10,25752.863,
2002-01,24334.552,
2002-04,26680.880,
2002-07,26763.855,
2002-10,27549.529,
2003-01,25317.221,
2003-04,26909.025,
2003-07,29169.996,
2003-10,27358.767,
2004-01,29524.265,
2004-04,32056.248,
2004-07,31565.037,
2004-10,32613.513,
2005-01,30964.652,
2005-04,33178.821,
2005-07,37616.180,
2005-10,36903.489,
2006-01,37891.013,
2006-04,38634.903,
2006-07,44086.022,
2006-10,49806.541,
2007-01,44806.877,
2007-04,46419.105,
2007-07,50138.616,
2007-10,50254.677,
2008-01,50224.104,
2008-04,54718.313,
2008-07,55290.819,
2008-10,55117.050,
2009-01,41861.107,
2009-04,41765.727,
2009-07,47351.645,
2009-10,51809.365,
2010-01,50605.441,
2010-04,57036.634,
2010-07,63011.691,
2010-10,65105.049,
2011-01,63846.723,
2011-04,65306.945,
2011-07,68059.527,
2011-10,69997.511,
2012-01,68918.483,
2012-04,73271.610,
2012-07,74425.980,
2012-10,72454.439,
2013-01,68147.762,
2013-04,72028.856,
2013-07,72528.210,
2013-10,72582.777,
2014-01,68470.323,Provisional value
2014-04,71529.558,Provisional value
2014-07,75173.718,Provisional value
