"",BBK01.WXIF19,BBK01.WXIF19_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:51,
2009-09,22842,
2009-10,22293,
2009-11,22998,
2009-12,24326,
2010-01,22613,
2010-02,23386,
2010-03,23905,
2010-04,23567,
2010-05,29206,
2010-06,23587,
2010-07,24466,
2010-08,24242,
2010-09,24776,
2010-10,25786,
2010-11,25597,
2010-12,27642,
2011-01,27905,
2011-02,28725,
2011-03,28408,
2011-04,28990,
2011-05,29524,
2011-06,29435,
2011-07,32423,
2011-08,29893,
2011-09,29092,
2011-10,31508,
2011-11,30897,
2011-12,30606,
2012-01,31917,
2012-02,32428,
2012-03,32381,
2012-04,28024,
2012-05,29712,
2012-06,30888,
2012-07,32166,
2012-08,32974,
2012-09,33191,
2012-10,33332,
2012-11,33592,
2012-12,35003,
2013-01,36164,
2013-02,36172,
2013-03,36111,
2013-04,36105,
2013-05,37375,
2013-06,35984,
2013-07,37444,
2013-08,36728,
2013-09,38432,
2013-10,40921,
2013-11,42586,
2013-12,42920,
2014-01,42130,
2014-02,43997,
2014-03,43294,
2014-04,43707,
2014-05,45467,
2014-06,45786,
2014-07,44652,
2014-08,45649,
2014-09,42680,
2014-10,41355,
2014-11,40576,
