"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:50,
1991-01,10.689,
1991-04,12.462,
1991-07,13.549,
1991-10,11.693,
1992-01,-36.918,
1992-04,-4.906,
1992-07,-5.790,
1992-10,-4.399,
1993-01,-28.018,
1993-04,35.376,
1993-07,36.442,
1993-10,36.263,
1994-01,-147.151,
1994-04,-123.289,
1994-07,-85.058,
1994-10,-87.246,
1995-01,127.279,
1995-04,154.808,
1995-07,160.311,
1995-10,158.098,
1996-01,63.743,
1996-04,64.781,
1996-07,65.763,
1996-10,61.980,
1997-01,69.788,
1997-04,69.788,
1997-07,69.788,
1997-10,69.784,
1998-01,12.783,
1998-04,5.373,
1998-07,12.064,
1998-10,12.783,
1999-01,111.000,
1999-04,73.006,
1999-07,108.000,
1999-10,110.000,
2000-01,47.909,
2000-04,161.290,
2000-07,183.000,
2000-10,151.237,
2001-01,-47.432,
2001-04,-168.638,
2001-07,-87.134,
2001-10,-154.364,
2002-01,-46.144,
2002-04,-82.494,
2002-07,-41.882,
2002-10,-119.378,
2003-01,37.680,
2003-04,-138.920,
2003-07,15.467,
2003-10,-260.496,
2004-01,273.940,
2004-04,213.130,
2004-07,301.180,
2004-10,326.136,
2005-01,-320.064,
2005-04,34.946,
2005-07,-23.386,
2005-10,7.440,
2006-01,-75.151,
2006-04,34.317,
2006-07,-276.601,
2006-10,2.959,
2007-01,-162.041,
2007-04,-110.590,
2007-07,-32.671,
2007-10,-8.166,
2008-01,-394.168,
2008-04,-179.168,
2008-07,-222.522,
2008-10,-480.541,
2009-01,-200.989,
2009-04,-104.982,
2009-07,-93.264,
2009-10,-147.448,
2010-01,-194.856,
2010-04,95.933,
2010-07,117.669,
2010-10,-35.337,
2011-01,50.042,
2011-04,15.649,
2011-07,78.960,
2011-10,90.450,
2012-01,67.474,
2012-04,86.577,
2012-07,111.373,
2012-10,31.392,
2013-01,260.157,
2013-04,227.777,
2013-07,403.894,
2013-10,427.043,
2014-01,303.841,Provisional value
2014-04,385.930,Provisional value
2014-07,385.563,Provisional value
2014-10,408.451,Provisional value
