"",BBK01.OEAF36J,BBK01.OEAF36J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:56,
2002-01,0.549,
2002-04,0.559,
2002-07,0.562,
2002-10,0.563,
2003-01,0.582,
2003-04,0.575,
2003-07,0.546,
2003-10,0.419,
2004-01,0.496,
2004-04,0.494,
2004-07,0.553,
2004-10,0.555,
2005-01,0.606,
2005-04,0.605,
2005-07,0.616,
2005-10,0.606,
2006-01,0.605,
2006-04,0.598,
2006-07,0.637,
2006-10,0.636,
2007-01,0.638,
2007-04,0.637,
2007-07,0.620,
2007-10,0.639,
2008-01,0.646,
2008-04,0.648,
2008-07,0.652,
2008-10,0.670,
2009-01,0.694,
2009-04,0.717,
2009-07,0.707,
2009-10,0.698,
2010-01,0.640,
2010-04,0.766,
2010-07,0.740,
2010-10,0.745,
2011-01,0.760,
2011-04,0.726,
2011-07,0.777,
2011-10,0.786,
2012-01,0.799,
2012-04,0.812,
2012-07,0.805,
2012-10,0.716,
2013-01,0.713,
2013-04,0.668,
2013-07,0.670,
2013-10,0.666,
2014-01,0.666,
2014-04,0.665,
2014-07,0.661,
