"",BBK01.OECB11G,BBK01.OECB11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:45,
2002-01,1.018,
2002-04,0.884,
2002-07,0.894,
2002-10,0.821,
2003-01,0.722,
2003-04,0.794,
2003-07,0.716,
2003-10,0.745,
2004-01,0.760,
2004-04,0.884,
2004-07,0.888,
2004-10,0.896,
2005-01,0.962,
2005-04,1.013,
2005-07,1.113,
2005-10,1.037,
2006-01,1.194,
2006-04,1.151,
2006-07,1.106,
2006-10,1.029,
2007-01,0.883,
2007-04,0.893,
2007-07,0.936,
2007-10,0.906,
2008-01,0.885,
2008-04,0.924,
2008-07,0.939,
2008-10,1.030,
2009-01,1.151,
2009-04,1.646,
2009-07,1.517,
2009-10,1.583,
2010-01,1.896,
2010-04,1.943,
2010-07,1.710,
2010-10,1.719,
2011-01,1.637,
2011-04,1.591,
2011-07,1.437,
2011-10,1.386,
2012-01,1.321,
2012-04,1.157,
2012-07,1.148,
2012-10,1.024,
2013-01,1.087,
2013-04,1.153,
2013-07,1.173,
2013-10,1.380,
2014-01,1.344,
2014-04,1.300,
2014-07,1.302,
