"",BBK01.CEFQN0,BBK01.CEFQN0_FLAGS
"",short-term time deposits                              debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:24,
1999-01,272.6,
1999-04,265.5,
1999-07,276.5,
1999-10,282.6,
2000-01,286.5,
2000-04,284.3,
2000-07,320.9,
2000-10,319.4,
2001-01,325.7,
2001-04,303.1,
2001-07,324.9,
2001-10,352.6,
2002-01,352.2,
2002-04,363.6,
2002-07,402.9,
2002-10,409.9,
2003-01,448.5,
2003-04,487.5,
2003-07,454.3,
2003-10,469.1,
2004-01,488.4,
2004-04,513.0,
2004-07,504.7,
2004-10,588.0,
2005-01,591.6,
2005-04,593.1,
2005-07,622.0,
2005-10,625.8,
2006-01,653.5,
2006-04,687.7,
2006-07,683.0,
2006-10,677.6,
2007-01,669.3,
2007-04,708.8,
2007-07,705.7,
2007-10,729.6,
2008-01,708.0,
2008-04,686.4,
2008-07,691.2,
2008-10,645.6,
2009-01,582.9,
2009-04,569.1,
2009-07,510.2,
2009-10,566.4,
2010-01,535.3,
2010-04,550.9,
2010-07,538.9,
2010-10,500.4,
2011-01,459.3,
2011-04,465.7,
2011-07,490.2,
2011-10,499.3,
2012-01,487.4,
2012-04,490.0,
2012-07,481.3,
2012-10,462.6,
2013-01,460.7,
2013-04,462.0,
2013-07,427.3,
2013-10,446.8,
2014-01,484.7,
2014-04,500.1,
2014-07,506.9,
