"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00122.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.Z5.00122.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares /  Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:59,
2009-09,13680,
2009-10,13032,
2009-11,12909,
2009-12,13287,
2010-01,12313,
2010-02,12034,
2010-03,13041,
2010-04,11710,
2010-05,10408,
2010-06,10353,
2010-07,11786,
2010-08,11020,
2010-09,11315,
2010-10,11690,
2010-11,10304,
2010-12,10808,
2011-01,11819,
2011-02,12053,
2011-03,11176,
2011-04,11214,
2011-05,10690,
2011-06,10516,
2011-07,9719,
2011-08,7774,
2011-09,7001,
2011-10,7382,
2011-11,6607,
2011-12,6892,
2012-01,7579,
2012-02,8193,
2012-03,7953,
2012-04,7273,
2012-05,7039,
2012-06,7360,
2012-07,6878,
2012-08,7217,
2012-09,7698,
2012-10,8146,
2012-11,8257,
2012-12,8679,
2013-01,9295,
2013-02,9233,
2013-03,8847,
2013-04,9449,
2013-05,10325,
2013-06,9493,
2013-07,10294,
2013-08,10325,
2013-09,11111,
2013-10,12132,
2013-11,12141,
2013-12,12096,
2014-01,12043,
2014-02,12516,
2014-03,12842,
2014-04,12987,
2014-05,13265,
2014-06,12980,
2014-07,12706,
2014-08,12971,
2014-09,13305,
2014-10,13098,
2014-11,13336,
