"",BBEX3.M.USD.EUR.CA.AB.A01,BBEX3.M.USD.EUR.CA.AB.A01_FLAGS
"",Exchange rates (closing) for the euro in the United States / EUR 1 = USD... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:50,
1999-01,1.1369,
1999-02,1.1027,
1999-03,1.0785,
1999-04,1.0580,
1999-05,1.0431,
1999-06,1.0360,
1999-07,1.0711,
1999-08,1.0566,
1999-09,1.0692,
1999-10,1.0548,
1999-11,1.0095,
1999-12,1.0080,
2000-01,0.9701,
2000-02,0.9645,
2000-03,0.9559,
2000-04,0.9115,
2000-05,0.9308,
2000-06,0.9538,
2000-07,0.9266,
2000-08,0.8880,
2000-09,0.8827,
2000-10,0.8491,
2000-11,0.8731,
2000-12,0.9427,
2001-01,0.9369,
2001-02,0.9236,
2001-03,0.8797,
2001-04,0.8874,
2001-05,0.8468,
2001-06,0.8500,
2001-07,0.8758,
2001-08,0.9119,
2001-09,0.9102,
2001-10,0.9000,
2001-11,0.8966,
2001-12,0.8901,
2002-01,0.8586,
2002-02,0.8692,
2002-03,0.8718,
2002-04,0.9002,
2002-05,0.9334,
2002-06,0.9915,
2002-07,0.9780,
2002-08,0.9825,
2002-09,0.9879,
2002-10,0.9912,
2002-11,0.9955,
2002-12,1.0501,
2003-01,1.0770,
2003-02,1.0801,
2003-03,1.0930,
2003-04,1.1184,
2003-05,1.1777,
2003-06,1.1518,
2003-07,1.1243,
2003-08,1.0989,
2003-09,1.1662,
2003-10,1.1592,
2003-11,1.1997,
2003-12,1.2593,
2004-01,1.2474,
2004-02,1.2493,
2004-03,1.2314,
2004-04,1.1979,
2004-05,1.2225,
2004-06,1.2205,
2004-07,1.2024,
2004-08,1.2182,
2004-09,1.2439,
2004-10,1.2793,
2004-11,1.3295,
2004-12,1.3634,
2005-01,1.3041,
2005-02,1.3235,
2005-03,1.2966,
2005-04,1.2866,
2005-05,1.2302,
2005-06,1.2104,
2005-07,1.2129,
2005-08,1.2347,
2005-09,1.2045,
2005-10,1.1991,
2005-11,1.1790,
2005-12,1.1850,
2006-01,1.2156,
2006-02,1.1917,
2006-03,1.2117,
2006-04,1.2634,
2006-05,1.2816,
2006-06,1.2794,
2006-07,1.2776,
2006-08,1.2818,
2006-09,1.2676,
2006-10,1.2765,
2006-11,1.3243,
2006-12,1.3186,
2007-01,1.3036,
2007-02,1.3237,
2007-03,1.3358,
2007-04,1.3650,
2007-05,1.3457,
2007-06,1.3534,
2007-07,1.3682,
2007-08,1.3626,
2007-09,1.4263,
2007-10,1.4489,
2007-11,1.4635,
2007-12,1.4589,
2008-01,1.4866,
2008-02,1.5182,
2008-03,1.5793,
2008-04,1.5627,
2008-05,1.5559,
2008-06,1.5743,
2008-07,1.5596,
2008-08,1.4674,
2008-09,1.4075,
2008-10,1.2752,
2008-11,1.2700,
2008-12,1.3981,
2009-01,1.2800,
2009-02,1.2663,
2009-03,1.3268,
2009-04,1.3227,
2009-05,1.4146,
2009-06,1.4030,
2009-07,1.4261,
2009-08,1.4340,
2009-09,1.4640,
2009-10,1.4711,
2009-11,1.5011,
2009-12,1.4326,
2010-01,1.3865,
2010-02,1.3637,
2010-03,1.3511,
2010-04,1.3308,
2010-05,1.2303,
2010-06,1.2238,
2010-07,1.3041,
2010-08,1.2681,
2010-09,1.3642,
2010-10,1.3924,
2010-11,1.2988,
2010-12,1.3382,
2011-01,1.3695,
2011-02,1.3802,
2011-03,1.4165,
2011-04,1.4808,
2011-05,1.4394,
2011-06,1.4505,
2011-07,1.4401,
2011-08,1.4375,
2011-09,1.3392,
2011-10,1.3850,
2011-11,1.3442,
2011-12,1.2943,
2012-01,1.3079,
2012-02,1.3328,
2012-03,1.3342,
2012-04,1.3240,
2012-05,1.2361,
2012-06,1.2644,
2012-07,1.2303,
2012-08,1.2584,
2012-09,1.2848,
2012-10,1.2961,
2012-11,1.3003,
2012-12,1.3192,
2013-01,1.3579,
2013-02,1.3138,
2013-03,1.2819,
2013-04,1.3169,
2013-05,1.2996,
2013-06,1.3013,
2013-07,1.3303,
2013-08,1.3217,
2013-09,1.3525,
2013-10,1.3581,
2013-11,1.3584,
2013-12,1.3760,
2014-01,1.3490,
2014-02,1.3808,
2014-03,1.3778,
2014-04,1.3869,
2014-05,1.3635,
2014-06,1.3696,
2014-07,1.3389,
2014-08,1.3141,
2014-09,1.2631,
2014-10,1.2535,
2014-11,1.2447,
2014-12,1.2102,
2015-01,1.1293,
"",Source: Thomson Reuters (until March 2008 Reuters),
