"",BBEX3.M.TOP.USD.CM.AC.A01,BBEX3.M.TOP.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Tonga / TOP 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:30,
1991-01,0.78130,
1991-02,0.77750,
1991-03,0.76905,
1991-04,0.76995,
1991-05,0.76260,
1991-06,0.76410,
1991-07,0.76525,
1991-08,0.76805,
1991-09,0.76815,
1991-10,0.75965,
1991-11,0.76310,
1991-12,0.74725,
1992-01,0.74380,
1992-02,0.74775,
1992-03,0.75210,
1992-04,0.74635,
1992-05,0.74505,
1992-06,0.74455,
1992-07,0.74455,
1992-08,0.73470,
1992-09,0.73190,
1992-10,0.72185,
1992-11,0.71620,
1992-12,0.71600,
1993-01,0.71500,
1993-02,0.72045,
1993-03,0.72995,
1993-04,0.73460,
1993-05,0.72635,
1993-06,0.71170,
1993-07,0.71935,
1993-08,0.71935,
1993-09,0.70905,
1993-10,0.71755,
1993-11,0.71200,
1993-12,0.72145,
1994-01,0.73460,
1994-02,0.73810,
1994-03,0.73610,
1994-04,0.73365,
1994-05,0.73550,
1994-06,0.72845,
1994-07,0.76305,
1994-08,0.76565,
1994-09,0.76555,
1994-10,0.77090,
1994-11,0.78050,
1994-12,0.79150,
1995-01,0.78475,
1995-02,0.77745,
1995-03,0.77980,
1995-04,0.78855,
1995-05,0.78445,
1995-06,0.78275,
1995-07,0.79065,
1995-08,0.78720,
1995-09,0.78925,
1995-10,0.79390,
1995-11,0.78790,
1995-12,0.78665,
1996-01,0.79115,
1996-02,0.79780,
1996-03,0.80745,
1996-04,0.81230,
1996-05,0.81340,
1996-06,0.81095,
1996-07,0.81390,
1996-08,0.81605,
1996-09,0.81910,
1996-10,0.82270,
1996-11,0.82970,
1996-12,0.82405,
1997-01,0.80855,
1997-02,0.81285,
1997-03,0.81540,
1997-04,0.81530,
1997-05,0.80855,
1997-06,0.79900,
1997-07,0.78725,
1997-08,0.78200,
1997-09,0.77490,
1997-10,0.76405,
1997-11,0.75435,
1997-12,0.73345,
1998-01,0.74415,
1998-02,0.73710,
1998-03,0.72155,
1998-04,0.70210,
1998-05,0.68330,
1998-06,0.66550,
1998-07,0.65725,
1998-08,0.62100,
1998-09,0.61990,
1998-10,0.62160,
1998-11,0.62470,
1998-12,0.61645,
1999-01,0.62430,
1999-02,0.62160,
1999-03,0.62430,
1999-04,0.64070,
1999-05,0.63060,
1999-06,0.62790,
1999-07,0.62330,
1999-08,0.61450,
1999-09,0.62140,
1999-10,0.61500,
1999-11,0.61440,
1999-12,0.62130,
2000-01,0.60910,
2000-02,0.59930,
2000-03,0.60360,
2000-04,0.59910,
2000-05,0.57770,
2000-06,0.59200,
2000-07,0.58380,
2000-08,0.61900,
2000-09,0.53300,
2000-10,0.51760,
2000-11,0.50480,
2000-12,0.50530,
2001-01,0.49750,
2001-02,0.49790,
2001-03,0.48020,
2001-04,0.47770,
2001-05,0.47120,
2001-06,0.46470,
2001-07,0.46150,
2001-08,0.46280,
2001-09,0.44820,
2001-10,0.45440,
2001-11,0.45500,
2001-12,0.45290,
2002-01,0.45220,
2002-02,0.45410,
2002-03,0.46030,
2002-04,0.46080,
2002-05,0.46550,
2002-06,0.46420,
2002-07,0.45460,
2002-08,0.44960,
2002-09,0.44660,
2002-10,0.44600,
2002-11,0.44730,
2002-12,0.44920,
2003-01,0.45530,
2003-02,0.46100,
2003-03,0.45720,
2003-04,0.45880,
2003-05,0.46500,
2003-06,0.46600,
2003-07,0.46480,
2003-08,0.45870,
2003-09,0.46870,
2003-10,0.47750,
2003-11,0.48320,
2003-12,0.49550,
2004-01,0.50730,
2004-02,0.51400,
2004-03,0.51150,
2004-04,0.50160,
2004-05,0.50650,
2004-06,0.50080,
2004-07,0.49630,
2004-08,0.50200,
2004-09,0.50340,
2004-10,0.50720,
2004-11,0.52070,
2004-12,0.52470,
2005-01,0.52490,
2005-02,0.52920,
2005-03,0.52410,
2005-04,0.52920,
2005-05,0.52260,
2005-06,0.52130,
2005-07,0.51470,
2005-08,0.51450,
2005-09,0.50850,
2005-10,0.50960,
2005-11,0.49440,
2005-12,0.48550,
2006-01,0.48795,
2006-02,0.48855,
2006-03,0.49015,
2006-04,0.50075,
2006-05,0.49765,
2006-06,0.48685,
2006-07,0.49655,
2006-08,0.50220,
2006-09,0.49540,
2006-10,0.49905,
2006-11,0.49945,
2006-12,0.49965,
2007-01,0.49195,
2007-02,0.49855,
2007-03,0.50270,
2007-04,0.50735,
2007-05,0.50330,
2007-06,0.51355,
2007-07,0.51015,
2007-08,0.49585,
2007-09,0.51095,
2007-10,0.52080,
2007-11,0.52150,
2007-12,0.52960,
2008-01,0.53515,
2008-02,0.55070,
2008-03,0.54460,
2008-04,0.54095,
2008-05,0.54440,
2008-06,0.54115,
2008-07,0.53195,
2008-08,0.51470,
2008-09,0.50465,
2008-10,0.46750,
2008-11,0.46820,
2008-12,0.47755,
2009-01,0.46065,
2009-02,0.45565,
2009-03,0.47095,
2009-04,0.47910,
2009-05,0.49830,
2009-06,0.50665,
2009-07,0.51075,
2009-08,0.52250,
2009-09,0.53250,
2009-10,0.54210,
2009-11,0.53810,
2009-12,0.53645,
2010-01,0.53495,
2010-02,0.52850,
2010-03,0.52100,
2010-04,0.51450,
2010-05,0.50750,
2010-06,0.52410,
2010-07,0.52975,
2010-08,0.51360,
2010-09,0.52930,
2010-10,0.54985,
2010-11,0.55345,
2010-12,0.56355,
2011-01,0.56360,
2011-02,0.56320,
2011-03,0.56660,
2011-04,0.58515,
2011-05,0.59670,
2011-06,0.59090,
2011-07,0.64630,
2011-08,0.57970,
2011-09,0.61590,
2011-10,0.60340,
2011-11,0.58935,
2011-12,0.59190,
2012-01,0.59320,
2012-02,0.61155,
2012-03,0.59815,
2012-04,0.60000,
2012-05,0.56120,
2012-06,0.57030,
2012-07,0.59695,
2012-08,0.58975,
2012-09,0.59795,
2012-10,0.58000,
2012-11,0.57940,
2012-12,0.57490,
2013-01,0.57930,
2013-02,0.57540,
2013-03,0.58010,
2013-04,0.58240,
2013-05,0.56140,
2013-06,0.54850,
2013-07,0.55080,
2013-08,0.54070,
2013-09,0.55620,
2013-10,0.55780,
2013-11,0.54720,
2013-12,0.54230,
2014-01,0.53880,
2014-02,0.54540,
2014-03,0.55450,
2014-04,0.55280,
2014-05,0.54980,
2014-06,0.55770,
2014-07,0.55440,
2014-08,0.54660,
2014-09,0.52730,
2014-10,0.52370,
2014-11,0.51860,
2014-12,0.51390,
2015-01,0.49630,
"","Source: Since January 2015 National Reserve Bank of Tonga, Nuku'alofa August 2006 - December 2014, calculated on the basis of the buying and selling rates of the Westpac Bank of Tonga, Nuku'alofa. January 2006 to July 2006 calculated on the basis of the buying and selling rates of the Australia and New Zealand Banking Group (ANZ), Nuku'alofa. 1991 - 2005 Bank of Tonga, Nuku'alofa (1991 - 1998, calculated on the basis of buying and selling rates).",
