"",BBK01.OEAH46L,BBK01.OEAH46L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:20,
2002-01,2.542,
2002-04,2.460,
2002-07,2.508,
2002-10,2.554,
2003-01,2.361,
2003-04,2.153,
2003-07,2.029,
2003-10,1.944,
2004-01,2.040,
2004-04,1.856,
2004-07,1.901,
2004-10,2.175,
2005-01,2.017,
2005-04,2.051,
2005-07,2.178,
2005-10,2.143,
2006-01,2.206,
2006-04,2.435,
2006-07,3.329,
2006-10,3.636,
2007-01,3.872,
2007-04,4.317,
2007-07,4.742,
2007-10,5.622,
2008-01,5.875,
2008-04,6.659,
2008-07,7.300,
2008-10,7.087,
2009-01,5.788,
2009-04,5.146,
2009-07,5.042,
2009-10,4.165,
2010-01,3.675,
2010-04,4.750,
2010-07,5.476,
2010-10,4.364,
2011-01,4.882,
2011-04,5.342,
2011-07,3.915,
2011-10,3.986,
2012-01,4.176,
2012-04,4.176,
2012-07,3.830,
2012-10,3.400,
2013-01,3.203,
2013-04,2.963,
2013-07,2.640,
2013-10,2.592,
2014-01,2.703,
2014-04,2.803,
2014-07,2.753,
