"",BBK01.OEAD06M,BBK01.OEAD06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:08,
2002-01,2.340,
2002-04,1.987,
2002-07,1.709,
2002-10,1.503,
2003-01,1.793,
2003-04,1.854,
2003-07,1.847,
2003-10,1.611,
2004-01,1.594,
2004-04,1.647,
2004-07,1.781,
2004-10,1.610,
2005-01,1.439,
2005-04,1.336,
2005-07,1.306,
2005-10,1.267,
2006-01,1.317,
2006-04,1.363,
2006-07,1.490,
2006-10,1.625,
2007-01,1.464,
2007-04,1.345,
2007-07,1.250,
2007-10,1.836,
2008-01,1.837,
2008-04,1.746,
2008-07,1.995,
2008-10,1.879,
2009-01,2.116,
2009-04,2.060,
2009-07,1.901,
2009-10,1.831,
2010-01,1.939,
2010-04,1.537,
2010-07,1.637,
2010-10,1.524,
2011-01,1.696,
2011-04,1.616,
2011-07,1.526,
2011-10,1.667,
2012-01,1.634,
2012-04,1.556,
2012-07,1.706,
2012-10,1.669,
2013-01,1.776,
2013-04,1.640,
2013-07,1.755,
2013-10,1.808,
2014-01,1.585,
2014-04,1.794,
2014-07,1.768,
