"",BBK01.OEXI04I,BBK01.OEXI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:48,
2002-01,4.387,
2002-04,4.151,
2002-07,4.381,
2002-10,4.045,
2003-01,4.010,
2003-04,3.436,
2003-07,3.001,
2003-10,2.982,
2004-01,2.841,
2004-04,3.032,
2004-07,3.657,
2004-10,3.591,
2005-01,4.395,
2005-04,3.603,
2005-07,2.734,
2005-10,3.211,
2006-01,3.834,
2006-04,2.657,
2006-07,3.007,
2006-10,3.910,
2007-01,4.371,
2007-04,4.854,
2007-07,5.106,
2007-10,5.010,
2008-01,5.226,
2008-04,5.551,
2008-07,5.668,
2008-10,5.047,
2009-01,2.978,
2009-04,2.106,
2009-07,1.549,
2009-10,1.198,
2010-01,1.189,
2010-04,1.820,
2010-07,2.176,
2010-10,2.438,
2011-01,3.197,
2011-04,4.207,
2011-07,5.494,
2011-10,5.664,
2012-01,6.233,
2012-04,6.665,
2012-07,7.394,
2012-10,7.248,
2013-01,8.199,
2013-04,7.807,
2013-07,7.668,
2013-10,7.625,
2014-01,7.125,
2014-04,7.004,
2014-07,6.279,
