"",BBSF2.M.1.S.00000.AKT01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.AKT01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Equity funds / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:20,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,27,
1993-05,26,
1993-06,11,
1993-07,45,
1993-08,67,
1993-09,62,
1993-10,77,
1993-11,80,
1993-12,61,
1994-01,46,
1994-02,29,
1994-03,30,
1994-04,26,
1994-05,25,
1994-06,98,
1994-07,61,
1994-08,64,
1994-09,12,
1994-10,18,
1994-11,21,
1994-12,17,
1995-01,17,
1995-02,21,
1995-03,8,
1995-04,16,
1995-05,30,
1995-06,46,
1995-07,53,
1995-08,22,
1995-09,9,
1995-10,8,
1995-11,9,
1995-12,10,
1996-01,9,
1996-02,14,
1996-03,18,
1996-04,17,
1996-05,17,
1996-06,12,
1996-07,10,
1996-08,7,
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,6,
1997-02,10,
1997-03,10,
1997-04,11,
1997-05,38,
1997-06,14,
1997-07,13,
1997-08,8,
1997-09,9,
1997-10,15,
1997-11,9,
1997-12,22,
1998-01,24,
1998-02,22,
1998-03,18,
1998-04,29,
1998-05,38,
1998-06,53,
1998-07,50,
1998-08,25,
1998-09,29,
1998-10,40,
1998-11,34,
1998-12,20,
1999-01,36,
1999-02,34,
1999-03,34,
1999-04,32,
1999-05,39,
1999-06,40,
1999-07,42,
1999-08,42,
1999-09,37,
1999-10,46,
1999-11,30,
1999-12,32,
2000-01,36,
2000-02,32,
2000-03,45,
2000-04,119,
2000-05,135,
2000-06,113,
2000-07,114,
2000-08,102,
2000-09,136,
2000-10,136,
2000-11,134,
2000-12,129,
2001-01,122,
2001-02,108,
2001-03,101,
2001-04,46,
2001-05,7,
2001-06,5,
2001-07,5,
2001-08,9,
2001-09,44,
2001-10,44,
2001-11,13,
2001-12,4,
2002-01,4,
2002-02,3,
2002-03,13,
2002-04,2,
2002-05,2,
2002-06,3,
2002-07,9,
2002-08,11,
2002-09,11,
2002-10,15,
2002-11,5,
2002-12,5,
2003-01,3,
2003-02,3,
2003-03,13,
2003-04,17,
2003-05,17,
2003-06,7,
2003-07,7,
2003-08,7,
2003-09,3,
2003-10,7,
2003-11,7,
2003-12,7,
2004-01,19,
2004-02,39,
2004-03,39,
2004-04,39,
2004-05,46,
2004-06,29,
2004-07,47,
2004-08,45,
2004-09,50,
2004-10,50,
2004-11,33,
2004-12,33,
2005-01,33,
2005-02,99,
2005-03,35,
2005-04,36,
2005-05,36,
2005-06,36,
2005-07,36,
2005-08,40,
2005-09,41,
2005-10,30,
2005-11,31,
2005-12,70,
2006-01,79,
2006-02,72,
2006-03,62,
2006-04,33,
2006-05,33,
2006-06,36,
2006-07,35,
2006-08,35,
2006-09,44,
2006-10,38,
2006-11,100,
2006-12,100,
2007-01,105,
2007-02,102,
2007-03,96,
2007-04,95,
2007-05,71,
2007-06,43,
2007-07,38,
2007-08,43,
2007-09,42,
2007-10,23,
2007-11,36,
2007-12,41,
2008-01,44,
2008-02,47,
2008-03,79,
2008-04,107,
2008-05,100,
2008-06,68,
2008-07,193,
2008-08,192,
2008-09,127,
2008-10,158,
2008-11,173,
2008-12,326,
2009-01,197,
2009-02,141,
2009-03,126,
2009-04,99,
2009-05,87,
2009-06,65,
2009-07,49,
2009-08,55,
2009-09,422,
2009-10,386,
2009-11,377,
2009-12,515,
2010-01,785,
2010-02,1105,
2010-03,684,
2010-04,878,
2010-05,953,
2010-06,906,
2010-07,969,
2010-08,1138,
2010-09,675,
2010-10,832,
2010-11,817,
2010-12,1483,
2011-01,1107,
2011-02,1118,
2011-03,1059,
2011-04,1527,
2011-05,1592,
2011-06,1756,
2011-07,1772,
2011-08,1753,
2011-09,1846,
2011-10,1474,
2011-11,1824,
2011-12,2001,
2012-01,1849,
2012-02,1728,
2012-03,1675,
2012-04,362,
2012-05,310,
2012-06,286,
2012-07,247,
2012-08,629,
2012-09,556,
2012-10,387,
2012-11,350,
2012-12,202,
2013-01,186,
2013-02,408,
2013-03,349,
2013-04,490,
2013-05,365,
2013-06,524,
2013-07,485,
2013-08,497,
2013-09,566,
2013-10,595,
2013-11,184,
2013-12,336,
2014-01,335,
2014-02,352,
2014-03,365,
2014-04,425,
2014-05,475,
2014-06,402,
2014-07,380,
2014-08,438,
2014-09,505,
2014-10,501,
2014-11,362,
