"",BBK01.OECK01Q,BBK01.OECK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:39,
2002-01,0.243,
2002-04,0.268,
2002-07,0.248,
2002-10,0.258,
2003-01,0.233,
2003-04,0.235,
2003-07,0.244,
2003-10,0.237,
2004-01,0.226,
2004-04,0.224,
2004-07,0.211,
2004-10,0.509,
2005-01,0.533,
2005-04,0.517,
2005-07,0.506,
2005-10,0.510,
2006-01,0.498,
2006-04,0.531,
2006-07,0.551,
2006-10,0.611,
2007-01,0.612,
2007-04,0.601,
2007-07,0.655,
2007-10,0.698,
2008-01,0.693,
2008-04,0.716,
2008-07,0.739,
2008-10,0.761,
2009-01,0.660,
2009-04,0.637,
2009-07,0.667,
2009-10,0.661,
2010-01,0.618,
2010-04,0.619,
2010-07,0.614,
2010-10,0.670,
2011-01,0.633,
2011-04,0.637,
2011-07,0.607,
2011-10,0.581,
2012-01,0.574,
2012-04,0.563,
2012-07,0.597,
2012-10,0.602,
2013-01,0.586,
2013-04,0.580,
2013-07,0.604,
2013-10,0.645,
2014-01,0.643,
2014-04,0.630,
2014-07,0.659,
