"",BBK01.OEXB21G,BBK01.OEXB21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:00,
2002-01,16.888,
2002-04,16.814,
2002-07,16.469,
2002-10,14.670,
2003-01,13.692,
2003-04,13.769,
2003-07,14.254,
2003-10,12.747,
2004-01,12.816,
2004-04,11.897,
2004-07,10.447,
2004-10,10.094,
2005-01,2.043,
2005-04,1.689,
2005-07,0.221,
2005-10,0.147,
2006-01,0.106,
2006-04,0.128,
2006-07,0.160,
2006-10,0.190,
2007-01,0.183,
2007-04,0.170,
2007-07,0.170,
2007-10,0.170,
2008-01,0.159,
2008-04,0.159,
2008-07,0.459,
2008-10,0.162,
2009-01,0.091,
2009-04,0.741,
2009-07,0.100,
2009-10,0.099,
2010-01,0.100,
2010-04,0.020,
2010-07,0.028,
2010-10,0.026,
2011-01,0.024,
2011-04,0.022,
2011-07,0.021,
2011-10,0.019,
2012-01,0.016,
2012-04,0.015,
2012-07,0.015,
2012-10,0.020,
2013-01,0.019,
2013-04,0.016,
2013-07,0.019,
2013-10,0.052,
2014-01,0.030,
2014-04,0.031,
2014-07,0.031,
