"",BBK01.OEYJ02R,BBK01.OEYJ02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:39,
2002-01,0.092,
2002-04,0.051,
2002-07,0.078,
2002-10,0.100,
2003-01,0.011,
2003-04,0.017,
2003-07,0.020,
2003-10,0.029,
2004-01,0.020,
2004-04,0.022,
2004-07,0.022,
2004-10,0.019,
2005-01,0.015,
2005-04,0.017,
2005-07,0.022,
2005-10,0.032,
2006-01,0.032,
2006-04,0.027,
2006-07,0.024,
2006-10,0.032,
2007-01,0.036,
2007-04,0.031,
2007-07,0.025,
2007-10,0.016,
2008-01,0.013,
2008-04,0.013,
2008-07,0.022,
2008-10,0.012,
2009-01,0.038,
2009-04,0.012,
2009-07,0.015,
2009-10,0.018,
2010-01,0.013,
2010-04,0.066,
2010-07,0.083,
2010-10,0.090,
2011-01,0.083,
2011-04,0.056,
2011-07,0.081,
2011-10,0.063,
2012-01,0.030,
2012-04,0.030,
2012-07,0.067,
2012-10,0.042,
2013-01,0.019,
2013-04,0.016,
2013-07,0.042,
2013-10,0.036,
2014-01,0.024,
2014-04,0.050,
2014-07,0.051,
