"",BBFN1.M.DE.N.1.L.FI.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FI.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:53,
1994-12,0.947,
1995-01,0.842,
1995-02,0.856,
1995-03,0.819,
1995-04,0.847,
1995-05,0.830,
1995-06,0.832,
1995-07,0.827,
1995-08,0.829,
1995-09,0.904,
1995-10,0.899,
1995-11,0.931,
1995-12,0.911,
1996-01,0.868,
1996-02,0.862,
1996-03,0.866,
1996-04,0.808,
1996-05,0.821,
1996-06,0.831,
1996-07,0.800,
1996-08,0.772,
1996-09,0.767,
1996-10,0.822,
1996-11,0.796,
1996-12,0.816,
1997-01,0.871,
1997-02,0.912,
1997-03,0.896,
1997-04,0.881,
1997-05,1.076,
1997-06,1.167,
1997-07,1.126,
1997-08,1.168,
1997-09,1.174,
1997-10,1.186,
1997-11,1.275,
1997-12,1.113,
1998-01,1.676,
1998-02,1.716,
1998-03,1.667,
1998-04,1.686,
1998-05,1.686,
1998-06,1.684,
1998-07,1.742,
1998-08,1.790,
1998-09,1.908,
1998-10,1.896,
1998-11,1.906,
1998-12,1.943,
1999-01,1.970,
1999-02,1.995,
1999-03,2.174,
1999-04,2.090,
1999-05,2.098,
1999-06,2.110,
1999-07,2.026,
1999-08,2.128,
1999-09,2.157,
1999-10,1.920,
1999-11,2.003,
1999-12,1.821,
2000-01,2.208,
2000-02,2.158,
2000-03,2.230,
2000-04,2.103,
2000-05,2.289,
2000-06,2.186,
2000-07,2.174,
2000-08,2.353,
2000-09,5.255,
2000-10,5.110,
2000-11,5.090,
2000-12,5.040,
2001-01,5.168,
2001-02,5.163,
2001-03,5.012,
2001-04,4.998,
2001-05,5.062,
2001-06,6.134,
2001-07,6.327,
2001-08,6.351,
2001-09,6.324,
2001-10,6.322,
2001-11,8.289,
2001-12,8.046,
2002-01,8.416,
2002-02,8.559,
2002-03,8.351,
2002-04,8.144,
2002-05,8.241,
2002-06,4.823,
2002-07,4.739,
2002-08,4.744,
2002-09,4.849,
2002-10,4.885,
2002-11,4.805,
2002-12,5.481,
2003-01,5.393,
2003-02,5.435,
2003-03,4.685,
2003-04,4.737,
2003-05,4.775,
2003-06,4.875,
2003-07,4.867,
2003-08,4.870,
2003-09,4.896,
2003-10,4.968,
2003-11,4.991,
2003-12,4.499,
2004-01,4.421,
2004-02,4.379,
2004-03,3.723,
2004-04,3.801,
2004-05,3.926,
2004-06,3.948,
2004-07,3.985,
2004-08,3.960,
2004-09,4.049,
2004-10,4.033,
2004-11,4.137,
2004-12,4.158,
2005-01,4.270,
2005-02,4.301,
2005-03,4.381,
2005-04,4.608,
2005-05,3.884,
2005-06,3.862,
2005-07,3.971,
2005-08,4.112,
2005-09,4.128,
2005-10,4.236,
2005-11,4.404,
2005-12,4.403,
2006-01,4.377,
2006-02,4.475,
2006-03,3.339,
2006-04,3.687,
2006-05,3.692,
2006-06,3.433,
2006-07,3.432,
2006-08,3.368,
2006-09,3.344,
2006-10,3.583,
2006-11,3.578,
2006-12,3.749,
2007-01,3.712,
2007-02,4.233,
2007-03,4.264,
2007-04,4.327,
2007-05,4.308,
2007-06,4.199,
2007-07,4.418,
2007-08,4.422,
2007-09,4.549,
2007-10,4.496,
2007-11,4.434,
2007-12,4.603,
2008-01,3.997,
2008-02,3.975,
2008-03,3.910,
2008-04,3.922,
2008-05,3.349,
2008-06,3.318,
2008-07,3.242,
2008-08,3.430,
2008-09,4.582,
2008-10,4.330,
2008-11,4.941,
2008-12,4.355,
2009-01,4.162,
2009-02,4.239,
2009-03,4.093,
2009-04,3.997,
2009-05,4.041,
2009-06,4.010,
2009-07,4.009,
2009-08,4.703,
2009-09,4.788,
2009-10,5.179,
2009-11,5.008,
2009-12,5.397,
2010-01,5.223,
2010-02,5.233,
2010-03,5.294,
2010-04,5.286,
2010-05,5.339,
2010-06,5.447,
2010-07,5.481,
2010-08,5.550,
2010-09,5.828,
2010-10,5.868,
2010-11,5.923,
2010-12,6.295,
2011-01,6.173,
2011-02,6.280,
2011-03,6.023,
2011-04,4.844,
2011-05,4.905,
2011-06,4.798,
2011-07,4.843,
2011-08,5.474,
2011-09,5.592,
2011-10,5.544,
2011-11,5.639,
2011-12,5.453,
2012-01,5.113,
2012-02,5.412,
2012-03,6.322,
2012-04,6.293,
2012-05,6.772,
2012-06,7.423,
2012-07,7.048,
2012-08,10.213,
2012-09,11.627,
2012-10,11.211,
2012-11,10.831,
2012-12,11.308,
2013-01,12.996,
2013-02,10.276,
2013-03,11.654,
2013-04,10.645,
2013-05,10.613,
2013-06,12.897,
2013-07,12.222,
2013-08,11.843,
2013-09,12.038,
2013-10,13.933,
2013-11,13.819,
2013-12,12.741,
2014-01,14.894,
2014-02,14.353,
2014-03,13.829,
2014-04,13.065,
2014-05,13.998,
2014-06,14.306,
2014-07,11.737,
2014-08,12.536,
2014-09,13.860,
2014-10,14.900,
2014-11,14.524,
2014-12,13.221,
