"",BBK01.OECB20P,BBK01.OECB20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:19,
2002-01,0.608,
2002-04,0.606,
2002-07,0.601,
2002-10,0.590,
2003-01,0.587,
2003-04,0.582,
2003-07,0.591,
2003-10,0.583,
2004-01,0.579,
2004-04,0.585,
2004-07,0.588,
2004-10,0.582,
2005-01,0.688,
2005-04,0.688,
2005-07,0.694,
2005-10,0.697,
2006-01,0.698,
2006-04,0.697,
2006-07,0.697,
2006-10,0.700,
2007-01,0.696,
2007-04,0.721,
2007-07,0.717,
2007-10,0.711,
2008-01,0.709,
2008-04,0.693,
2008-07,0.690,
2008-10,0.675,
2009-01,0.668,
2009-04,0.978,
2009-07,0.961,
2009-10,0.951,
2010-01,0.941,
2010-04,0.937,
2010-07,0.789,
2010-10,0.788,
2011-01,0.855,
2011-04,0.843,
2011-07,0.832,
2011-10,0.820,
2012-01,0.812,
2012-04,0.809,
2012-07,0.804,
2012-10,0.797,
2013-01,0.798,
2013-04,0.787,
2013-07,0.784,
2013-10,0.794,
2014-01,0.790,
2014-04,0.785,
2014-07,0.790,
