"",BBK01.OEAC58G,BBK01.OEAC58G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:54,
2002-01,10.407,
2002-04,9.774,
2002-07,9.665,
2002-10,9.747,
2003-01,9.352,
2003-04,9.486,
2003-07,8.097,
2003-10,7.251,
2004-01,7.107,
2004-04,6.314,
2004-07,6.035,
2004-10,6.158,
2005-01,6.106,
2005-04,6.083,
2005-07,5.747,
2005-10,6.580,
2006-01,6.506,
2006-04,5.973,
2006-07,5.864,
2006-10,5.664,
2007-01,5.575,
2007-04,5.153,
2007-07,5.156,
2007-10,5.161,
2008-01,5.306,
2008-04,5.342,
2008-07,5.375,
2008-10,5.458,
2009-01,5.031,
2009-04,5.046,
2009-07,5.073,
2009-10,5.040,
2010-01,5.107,
2010-04,5.133,
2010-07,5.215,
2010-10,5.200,
2011-01,5.201,
2011-04,5.215,
2011-07,5.203,
2011-10,5.331,
2012-01,5.269,
2012-04,5.615,
2012-07,5.607,
2012-10,5.369,
2013-01,5.214,
2013-04,5.290,
2013-07,5.403,
2013-10,6.098,
2014-01,6.121,
2014-04,6.277,
2014-07,6.392,
