"",BBDE1.M.DE.W.AEN5.A2P320000.F.V.I10.A,BBDE1.M.DE.W.AEN5.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Capital goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:04,
2010-01,84.2,
2010-02,89.0,
2010-03,100.6,
2010-04,96.6,
2010-05,98.6,
2010-06,102.7,
2010-07,99.8,
2010-08,93.4,
2010-09,104.6,
2010-10,103.3,
2010-11,112.0,
2010-12,109.9,
2011-01,112.2,
2011-02,111.2,
2011-03,121.1,
2011-04,108.2,
2011-05,108.9,
2011-06,112.4,
2011-07,108.5,
2011-08,99.0,
2011-09,111.0,
2011-10,110.6,
2011-11,109.2,
2011-12,109.6,
2012-01,106.0,
2012-02,111.0,
2012-03,122.9,
2012-04,111.0,
2012-05,113.7,
2012-06,114.7,
2012-07,112.3,
2012-08,99.9,
2012-09,112.6,
2012-10,112.9,
2012-11,112.7,
2012-12,114.8,
2013-01,109.1,
2013-02,113.3,
2013-03,124.3,
2013-04,114.2,
2013-05,115.1,
2013-06,122.3,
2013-07,112.0,
2013-08,104.1,
2013-09,117.7,
2013-10,115.4,
2013-11,117.3,
2013-12,119.1,
2014-01,118.8,
2014-02,118.5,
2014-03,130.3,
2014-04,117.5,
2014-05,114.6,
2014-06,123.3,
2014-07,119.8,
2014-08,102.0,
2014-09,122.5,
2014-10,127.0,
2014-11,127.5,
2014-12,129.1,Provisional value
