"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F519._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F519._Z._T.M.N_FLAGS
"",IIP - Other Investment - Other equity  - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:26,
1999-10,28496,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,29848,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,31232,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,31034,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,31164,
2004-01,18261,
2004-04,18201,
2004-07,18613,
2004-10,18749,
2005-01,19181,
2005-04,19725,
2005-07,20327,
2005-10,20798,
2006-01,21258,
2006-04,21747,
2006-07,22253,
2006-10,22924,
2007-01,23021,
2007-04,24183,
2007-07,25823,
2007-10,28255,
2008-01,29551,
2008-04,30257,
2008-07,31972,
2008-10,31122,
2009-01,31592,
2009-04,31805,
2009-07,32404,
2009-10,33163,
2010-01,33615,
2010-04,34244,
2010-07,35079,
2010-10,35980,
2011-01,36269,
2011-04,36759,
2011-07,37540,
2011-10,38559,
2012-01,39432,
2012-04,39872,
2012-07,40158,
2012-10,51175,
2013-01,51539,
2013-04,56230,
2013-07,56528,
2013-10,60745,
2014-01,61011,
2014-04,65341,
2014-07,65647,
