"",BBK01.OUZ508,BBK01.OUZ508_FLAGS
"","Unsecuritised lending to non-banks(non-MFIs), total Landesbanken and Savings banks",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:57:06,
1999-01,1014.876,
1999-02,1021.263,
1999-03,1026.932,
1999-04,1043.961,
1999-05,1038.766,
1999-06,1050.062,
1999-07,1051.399,
1999-08,1055.776,
1999-09,1052.542,
1999-10,1063.540,
1999-11,1069.611,
1999-12,1084.525,
2000-01,1088.881,
2000-02,1080.500,
2000-03,1091.904,
2000-04,1103.794,
2000-05,1101.920,
2000-06,1111.757,
2000-07,1117.080,
2000-08,1121.297,
2000-09,1123.586,
2000-10,1134.756,
2000-11,1131.112,
2000-12,1131.661,
2001-01,1139.810,
2001-02,1143.498,
2001-03,1163.345,
2001-04,1163.358,
2001-05,1172.368,
2001-06,1171.642,
2001-07,1173.289,
2001-08,1165.562,
2001-09,1171.660,
2001-10,1180.247,
2001-11,1193.592,
2001-12,1186.672,
2002-01,1207.900,
2002-02,1212.495,
2002-03,1207.804,
2002-04,1206.813,
2002-05,1200.484,
2002-06,1198.568,
2002-07,1203.600,
2002-08,1203.378,
2002-09,1205.848,
2002-10,1208.345,
2002-11,1215.464,
2002-12,1202.425,
2003-01,1204.562,
2003-02,1202.946,
2003-03,1201.578,
2003-04,1201.073,
2003-05,1192.871,
2003-06,1197.396,
2003-07,1209.074,
2003-08,1211.992,
2003-09,1204.187,
2003-10,1205.946,
2003-11,1205.368,
2003-12,1186.663,
2004-01,1188.441,
2004-02,1184.862,
2004-03,1196.720,
2004-04,1191.422,
2004-05,1189.427,
2004-06,1186.811,
2004-07,1192.679,
2004-08,1187.889,
2004-09,1164.782,
2004-10,1170.292,
2004-11,1165.849,
2004-12,1114.150,
2005-01,1121.888,
2005-02,1122.669,
2005-03,1118.631,
2005-04,1130.405,
2005-05,1140.919,
2005-06,1136.712,
2005-07,1139.914,
2005-08,1148.881,
2005-09,1156.994,
2005-10,1162.913,
2005-11,1163.668,
2005-12,1162.976,
2006-01,1176.788,
2006-02,1180.068,
2006-03,1183.541,
2006-04,1186.746,
2006-05,1187.172,
2006-06,1188.642,
2006-07,1189.396,
2006-08,1195.393,
2006-09,1213.235,
2006-10,1217.518,
2006-11,1223.625,
2006-12,1207.965,
2007-01,1219.880,
2007-02,1214.980,
2007-03,1222.680,
2007-04,1222.437,
2007-05,1216.893,
2007-06,1222.970,
2007-07,1233.837,
2007-08,1236.686,
2007-09,1247.224,
2007-10,1251.419,
2007-11,1253.837,
2007-12,1273.608,
2008-01,1267.311,
2008-02,1276.257,
2008-03,1270.295,
2008-04,1283.867,
2008-05,1288.787,
2008-06,1290.411,
2008-07,1298.790,
2008-08,1309.737,
2008-09,1321.499,
2008-10,1352.707,
2008-11,1345.092,
2008-12,1317.353,
2009-01,1329.899,
2009-02,1333.640,
2009-03,1324.777,
2009-04,1328.637,
2009-05,1325.923,
2009-06,1314.921,
2009-07,1314.903,
2009-08,1314.169,
2009-09,1304.053,
2009-10,1307.098,
2009-11,1299.362,
2009-12,1292.706,
2010-01,1294.801,
2010-02,1301.502,
2010-03,1294.175,
2010-04,1300.296,
2010-05,1328.619,
2010-06,1315.854,
2010-07,1298.083,
2010-08,1298.410,
2010-09,1289.082,
2010-10,1287.709,
2010-11,1295.573,
2010-12,1281.846,
2011-01,1278.314,
2011-02,1274.166,
2011-03,1269.809,
2011-04,1260.546,
2011-05,1263.519,
2011-06,1262.033,
2011-07,1267.496,
2011-08,1269.934,
2011-09,1287.521,
2011-10,1286.404,
2011-11,1298.777,
2011-12,1284.713,
2012-01,1289.906,
2012-02,1285.884,
2012-03,1282.311,
2012-04,1285.594,
2012-05,1294.886,
2012-06,1295.615,
2012-07,1301.843,
2012-08,1294.356,
2012-09,1294.734,
2012-10,1283.559,
2012-11,1275.930,
2012-12,1238.562,
2013-01,1234.389,
2013-02,1234.828,
2013-03,1233.233,
2013-04,1228.790,
2013-05,1226.798,
2013-06,1220.456,
2013-07,1217.648,
2013-08,1196.288,
2013-09,1193.623,
2013-10,1197.030,
2013-11,1195.147,
2013-12,1187.597,
2014-01,1190.718,
2014-02,1188.189,
2014-03,1185.849,
2014-04,1187.931,
2014-05,1191.916,
2014-06,1186.194,
2014-07,1187.691,
2014-08,1188.527,
2014-09,1193.883,
2014-10,1198.080,
2014-11,1196.455,
