"",BBK01.OEHB04R,BBK01.OEHB04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:56,
2002-01,5.717,
2002-04,5.790,
2002-07,5.818,
2002-10,5.891,
2003-01,5.826,
2003-04,5.869,
2003-07,5.923,
2003-10,5.958,
2004-01,5.859,
2004-04,5.843,
2004-07,5.820,
2004-10,5.865,
2005-01,5.778,
2005-04,5.708,
2005-07,5.678,
2005-10,5.689,
2006-01,5.615,
2006-04,5.602,
2006-07,5.584,
2006-10,5.571,
2007-01,5.485,
2007-04,5.445,
2007-07,5.353,
2007-10,5.337,
2008-01,5.302,
2008-04,5.313,
2008-07,5.314,
2008-10,5.327,
2009-01,5.269,
2009-04,5.275,
2009-07,5.291,
2009-10,5.302,
2010-01,5.271,
2010-04,5.294,
2010-07,5.314,
2010-10,5.314,
2011-01,5.288,
2011-04,5.296,
2011-07,5.308,
2011-10,5.347,
2012-01,5.335,
2012-04,5.396,
2012-07,5.444,
2012-10,5.506,
2013-01,5.476,
2013-04,5.535,
2013-07,5.600,
2013-10,5.682,
2014-01,5.711,
2014-04,5.790,
2014-07,5.865,
