"",BBK01.OEYL05H,BBK01.OEYL05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:20,
2002-01,10.364,
2002-04,8.988,
2002-07,8.986,
2002-10,9.292,
2003-01,9.367,
2003-04,9.333,
2003-07,9.259,
2003-10,9.568,
2004-01,9.655,
2004-04,9.748,
2004-07,9.775,
2004-10,10.121,
2005-01,10.255,
2005-04,10.285,
2005-07,10.318,
2005-10,10.658,
2006-01,10.830,
2006-04,10.855,
2006-07,10.895,
2006-10,11.168,
2007-01,11.295,
2007-04,11.287,
2007-07,11.296,
2007-10,11.639,
2008-01,11.738,
2008-04,11.719,
2008-07,11.817,
2008-10,11.940,
2009-01,11.980,
2009-04,11.973,
2009-07,12.057,
2009-10,12.490,
2010-01,10.753,
2010-04,10.924,
2010-07,11.016,
2010-10,11.172,
2011-01,11.270,
2011-04,11.256,
2011-07,11.286,
2011-10,11.500,
2012-01,11.513,
2012-04,11.591,
2012-07,11.722,
2012-10,11.032,
2013-01,11.226,
2013-04,11.286,
2013-07,11.387,
2013-10,11.644,
2014-01,12.064,
2014-04,12.358,
2014-07,12.545,
