"",BBK01.OELJ01N,BBK01.OELJ01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:18,
2002-01,12.447,
2002-04,12.718,
2002-07,12.959,
2002-10,12.953,
2003-01,13.072,
2003-04,13.229,
2003-07,13.467,
2003-10,13.702,
2004-01,14.157,
2004-04,14.544,
2004-07,15.010,
2004-10,15.115,
2005-01,15.195,
2005-04,15.866,
2005-07,15.814,
2005-10,15.721,
2006-01,15.422,
2006-04,15.842,
2006-07,16.124,
2006-10,16.855,
2007-01,16.689,
2007-04,17.092,
2007-07,17.739,
2007-10,17.718,
2008-01,17.606,
2008-04,17.649,
2008-07,20.869,
2008-10,21.083,
2009-01,21.624,
2009-04,22.212,
2009-07,23.209,
2009-10,23.792,
2010-01,24.525,
2010-04,24.963,
2010-07,25.035,
2010-10,24.712,
2011-01,25.017,
2011-04,24.968,
2011-07,25.723,
2011-10,25.288,
2012-01,25.404,
2012-04,25.514,
2012-07,26.065,
2012-10,26.088,
2013-01,26.124,
2013-04,26.161,
2013-07,26.387,
2013-10,26.317,
2014-01,24.392,
2014-04,24.763,
2014-07,26.415,
