"",BBFB1.Q.N.DE.JP.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:14,
1991-01,-9.691,
1991-04,13.833,
1991-07,-3.576,
1991-10,-5.419,
1992-01,-12.244,
1992-04,2.071,
1992-07,-1.935,
1992-10,2.168,
1993-01,-3.296,
1993-04,18.393,
1993-07,7.891,
1993-10,5.111,
1994-01,-6.903,
1994-04,18.400,
1994-07,7.153,
1994-10,1.648,
1995-01,-12.301,
1995-04,0.834,
1995-07,-7.106,
1995-10,-12.917,
1996-01,-6.964,
1996-04,3.601,
1996-07,-3.107,
1996-10,-4.254,
1997-01,5.767,
1997-04,0.208,
1997-07,-0.806,
1997-10,-7.802,
1998-01,-8.364,
1998-04,16.390,
1998-07,-30.212,
1998-10,-11.282,
1999-01,8.503,
1999-04,3.497,
1999-07,-10.048,
1999-10,-5.977,
2000-01,8.727,
2000-04,11.365,
2000-07,-23.745,
2000-10,-28.027,
2001-01,-38.922,
2001-04,-8.370,
2001-07,-29.974,
2001-10,-20.312,
2002-01,-3.307,
2002-04,-20.371,
2002-07,-9.712,
2002-10,-10.451,
2003-01,-25.167,
2003-04,-14.600,
2003-07,-24.310,
2003-10,-30.805,
2004-01,-20.389,
2004-04,-16.006,
2004-07,-23.501,
2004-10,-15.873,
2005-01,4.012,
2005-04,-13.073,
2005-07,-36.314,
2005-10,503.592,
2006-01,-24.846,
2006-04,-29.886,
2006-07,-19.383,
2006-10,-20.048,
2007-01,-42.177,
2007-04,-27.907,
2007-07,-32.999,
2007-10,-40.768,
2008-01,-27.641,
2008-04,-28.942,
2008-07,-40.545,
2008-10,-40.348,
2009-01,-13.822,
2009-04,-25.742,
2009-07,-45.827,
2009-10,-13.464,
2010-01,-0.953,
2010-04,-112.620,
2010-07,-46.702,
2010-10,-51.489,
2011-01,-25.517,
2011-04,-31.496,
2011-07,-25.855,
2011-10,-61.102,
2012-01,-32.946,
2012-04,2.011,
2012-07,-52.723,
2012-10,-54.008,
2013-01,-0.422,
2013-04,-9.074,
2013-07,32.394,
2013-10,122.285,
2014-01,-37.525,Provisional value
2014-04,2.572,Provisional value
2014-07,-18.161,Provisional value
