"",BBEX3.A.JOD.USD.CA.AA.A04,BBEX3.A.JOD.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Jordan / USD 1 = JOD ... (buying),
unit,JOD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:36,
1991,0.6802,
1992,0.6795,
1993,0.6914,
1994,0.6971,
1995,0.6995,
1996,0.7080,
1997,0.7080,
1998,0.7080,
1999,0.7080,
2000,0.7080,
2001,0.7080,
2002,0.7080,
2003,0.7080,
2004,0.7080,
2005,0.7080,
2006,0.7080,
2007,0.7080,
2008,0.7080,
2009,0.7080,
2010,0.7080,
2011,0.7080,
2012,0.7080,
2013,0.7080,
2014,0.7080,
"","Source: Central Bank of Jordan, Amman.",
"","Methodology: Until 1995, calculated on the basis of month-end rates. Since October 1995, the Jordanian dinar has been pegged to the US dollar.",
