"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:20,
1991-01,79.784,
1991-04,288.802,
1991-07,8.933,
1991-10,149.731,
1992-01,273.805,
1992-04,-10.366,
1992-07,-116.055,
1992-10,278.083,
1993-01,-107.343,
1993-04,-327.558,
1993-07,34.350,
1993-10,-17.602,
1994-01,156.371,
1994-04,234.851,
1994-07,307.724,
1994-10,202.029,
1995-01,150.794,
1995-04,109.253,
1995-07,735.970,
1995-10,-459.033,
1996-01,223.054,
1996-04,601.702,
1996-07,461.268,
1996-10,711.964,
1997-01,362.064,
1997-04,-109.162,
1997-07,81.813,
1997-10,432.694,
1998-01,421.233,
1998-04,88.704,
1998-07,648.728,
1998-10,-144.652,
1999-01,96.182,
1999-04,793.711,
1999-07,140.176,
1999-10,-1.206,
2000-01,290.202,
2000-04,-193.156,
2000-07,47.034,
2000-10,-424.526,
2001-01,-310.450,
2001-04,-471.452,
2001-07,-289.197,
2001-10,43.545,
2002-01,-456.830,
2002-04,-512.412,
2002-07,-827.485,
2002-10,-587.110,
2003-01,-273.174,
2003-04,-305.608,
2003-07,-164.503,
2003-10,-62.975,
2004-01,41.390,
2004-04,-101.057,
2004-07,31.015,
2004-10,360.756,
2005-01,-358.943,
2005-04,-77.179,
2005-07,-532.547,
2005-10,-169.052,
2006-01,146.917,
2006-04,147.735,
2006-07,276.428,
2006-10,-16.636,
2007-01,87.390,
2007-04,169.811,
2007-07,273.845,
2007-10,-1.967,
2008-01,44.318,
2008-04,209.121,
2008-07,-80.500,
2008-10,-126.147,
2009-01,-26.989,
2009-04,-387.788,
2009-07,8.321,
2009-10,79.598,
2010-01,205.917,
2010-04,65.642,
2010-07,-109.126,
2010-10,16.732,
2011-01,105.657,
2011-04,-68.925,
2011-07,67.168,
2011-10,62.253,
2012-01,54.779,
2012-04,264.028,
2012-07,60.457,
2012-10,-167.606,
2013-01,144.358,
2013-04,216.386,
2013-07,251.650,
2013-10,-273.058,
2014-01,110.247,Provisional value
2014-04,179.873,Provisional value
2014-07,-151.769,Provisional value
2014-10,-26.040,Provisional value
