"",BBK01.OEXL04R,BBK01.OEXL04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:10,
2002-01,0.070,
2002-04,0.062,
2002-07,0.062,
2002-10,0.070,
2003-01,0.059,
2003-04,0.056,
2003-07,0.064,
2003-10,0.048,
2004-01,0.045,
2004-04,0.041,
2004-07,0.038,
2004-10,0.024,
2005-01,0.021,
2005-04,0.023,
2005-07,0.022,
2005-10,0.023,
2006-01,0.026,
2006-04,0.031,
2006-07,0.033,
2006-10,0.040,
2007-01,0.044,
2007-04,0.047,
2007-07,0.044,
2007-10,0.050,
2008-01,0.061,
2008-04,0.066,
2008-07,0.067,
2008-10,0.059,
2009-01,0.044,
2009-04,0.029,
2009-07,0.019,
2009-10,0.013,
2010-01,0.027,
2010-04,0.033,
2010-07,0.020,
2010-10,0.015,
2011-01,0.012,
2011-04,0.009,
2011-07,0.009,
2011-10,0.027,
2012-01,0.033,
2012-04,0.032,
2012-07,0.032,
2012-10,0.039,
2013-01,0.038,
2013-04,0.038,
2013-07,0.034,
2013-10,0.026,
2014-01,0.028,
2014-04,0.027,
2014-07,0.026,
