"",BBK01.OEAH86N,BBK01.OEAH86N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:42,
2002-01,3.701,
2002-04,3.801,
2002-07,4.821,
2002-10,4.130,
2003-01,4.015,
2003-04,4.313,
2003-07,4.189,
2003-10,4.621,
2004-01,4.339,
2004-04,4.085,
2004-07,4.733,
2004-10,4.572,
2005-01,4.523,
2005-04,5.478,
2005-07,5.023,
2005-10,4.137,
2006-01,4.582,
2006-04,4.695,
2006-07,4.731,
2006-10,4.713,
2007-01,5.525,
2007-04,5.341,
2007-07,5.699,
2007-10,5.631,
2008-01,6.724,
2008-04,7.952,
2008-07,6.276,
2008-10,7.329,
2009-01,8.127,
2009-04,7.189,
2009-07,7.563,
2009-10,7.769,
2010-01,10.232,
2010-04,15.500,
2010-07,7.923,
2010-10,8.356,
2011-01,9.618,
2011-04,8.095,
2011-07,9.622,
2011-10,7.862,
2012-01,10.993,
2012-04,9.843,
2012-07,10.565,
2012-10,8.136,
2013-01,8.480,
2013-04,9.280,
2013-07,9.309,
2013-10,8.146,
2014-01,8.814,
2014-04,10.271,
2014-07,9.029,
