"",BBFN1.M.DE.N.1.A.RU.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RU.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Russian Federation,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:13,
1994-07,1.141,
1994-08,1.307,
1994-09,1.376,
1994-10,1.352,
1994-11,1.351,
1994-12,1.339,
1995-01,1.342,
1995-02,1.326,
1995-03,1.353,
1995-04,1.340,
1995-05,1.331,
1995-06,1.364,
1995-07,1.375,
1995-08,1.355,
1995-09,1.398,
1995-10,1.379,
1995-11,1.462,
1995-12,1.379,
1996-01,1.352,
1996-02,1.350,
1996-03,1.354,
1996-04,1.373,
1996-05,1.444,
1996-06,1.484,
1996-07,1.496,
1996-08,1.488,
1996-09,1.674,
1996-10,1.695,
1996-11,1.794,
1996-12,1.704,
1997-01,1.761,
1997-02,1.778,
1997-03,1.827,
1997-04,1.754,
1997-05,1.801,
1997-06,1.817,
1997-07,1.832,
1997-08,1.815,
1997-09,1.762,
1997-10,1.885,
1997-11,1.939,
1997-12,1.973,
1998-01,1.943,
1998-02,2.103,
1998-03,2.065,
1998-04,2.118,
1998-05,2.111,
1998-06,2.059,
1998-07,2.135,
1998-08,2.163,
1998-09,2.142,
1998-10,2.113,
1998-11,2.060,
1998-12,1.923,
1999-01,1.834,
1999-02,1.809,
1999-03,1.832,
1999-04,1.660,
1999-05,1.717,
1999-06,1.636,
1999-07,1.637,
1999-08,1.614,
1999-09,1.553,
1999-10,1.546,
1999-11,1.638,
1999-12,1.538,
2000-01,1.515,
2000-02,1.534,
2000-03,1.521,
2000-04,1.550,
2000-05,1.532,
2000-06,1.543,
2000-07,1.572,
2000-08,1.610,
2000-09,1.542,
2000-10,1.598,
2000-11,1.604,
2000-12,1.561,
2001-01,1.559,
2001-02,1.592,
2001-03,1.627,
2001-04,1.666,
2001-05,1.655,
2001-06,1.799,
2001-07,1.685,
2001-08,1.847,
2001-09,1.958,
2001-10,2.009,
2001-11,1.959,
2001-12,1.977,
2002-01,1.763,
2002-02,1.849,
2002-03,1.878,
2002-04,1.957,
2002-05,1.943,
2002-06,1.883,
2002-07,1.950,
2002-08,1.880,
2002-09,1.953,
2002-10,1.953,
2002-11,2.073,
2002-12,1.900,
2003-01,1.839,
2003-02,1.959,
2003-03,1.909,
2003-04,1.934,
2003-05,1.930,
2003-06,1.894,
2003-07,1.850,
2003-08,1.925,
2003-09,1.936,
2003-10,1.917,
2003-11,1.977,
2003-12,1.894,
2004-01,1.833,
2004-02,1.805,
2004-03,1.969,
2004-04,2.001,
2004-05,2.035,
2004-06,2.172,
2004-07,2.150,
2004-08,2.148,
2004-09,2.190,
2004-10,2.228,
2004-11,2.314,
2004-12,2.118,
2005-01,2.206,
2005-02,2.335,
2005-03,2.515,
2005-04,2.443,
2005-05,2.472,
2005-06,2.600,
2005-07,2.584,
2005-08,2.564,
2005-09,2.578,
2005-10,2.629,
2005-11,2.613,
2005-12,2.397,
2006-01,2.429,
2006-02,2.641,
2006-03,2.733,
2006-04,2.867,
2006-05,2.892,
2006-06,3.046,
2006-07,3.035,
2006-08,3.013,
2006-09,3.119,
2006-10,3.245,
2006-11,3.347,
2006-12,3.088,
2007-01,3.242,
2007-02,3.442,
2007-03,3.587,
2007-04,3.789,
2007-05,3.951,
2007-06,4.245,
2007-07,4.354,
2007-08,4.281,
2007-09,4.400,
2007-10,4.556,
2007-11,4.491,
2007-12,3.961,
2008-01,3.970,
2008-02,4.181,
2008-03,4.489,
2008-04,5.035,
2008-05,5.207,
2008-06,5.550,
2008-07,5.591,
2008-08,5.819,
2008-09,5.763,
2008-10,5.954,
2008-11,6.158,
2008-12,5.416,
2009-01,5.151,
2009-02,4.810,
2009-03,4.615,
2009-04,4.493,
2009-05,4.516,
2009-06,4.511,
2009-07,4.411,
2009-08,4.260,
2009-09,4.183,
2009-10,4.147,
2009-11,4.116,
2009-12,3.805,
2010-01,3.826,
2010-02,3.951,
2010-03,4.201,
2010-04,4.262,
2010-05,4.348,
2010-06,4.569,
2010-07,4.544,
2010-08,4.787,
2010-09,4.576,
2010-10,4.676,
2010-11,4.740,
2010-12,3.961,
2011-01,4.108,
2011-02,4.287,
2011-03,4.723,
2011-04,4.571,
2011-05,4.825,
2011-06,4.728,
2011-07,5.019,
2011-08,4.863,
2011-09,5.021,
2011-10,5.118,
2011-11,5.468,
2011-12,5.012,
2012-01,5.117,
2012-02,5.063,
2012-03,5.484,
2012-04,5.131,
2012-05,5.145,
2012-06,6.864,
2012-07,6.739,
2012-08,5.115,
2012-09,5.167,
2012-10,5.204,
2012-11,5.479,
2012-12,4.785,
2013-01,5.256,
2013-02,5.168,
2013-03,5.140,
2013-04,5.406,
2013-05,5.307,
2013-06,5.413,
2013-07,5.150,
2013-08,5.407,
2013-09,5.447,
2013-10,5.548,
2013-11,5.847,
2013-12,4.824,
2014-01,5.127,
2014-02,5.235,
2014-03,5.284,
2014-04,5.284,
2014-05,5.395,
2014-06,5.398,
2014-07,5.291,
2014-08,5.306,
2014-09,5.305,
2014-10,5.100,
2014-11,5.023,
2014-12,4.243,
