"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:45,
1991-01,-1.028,
1991-04,0.531,
1991-07,0.559,
1991-10,2.174,
1992-01,-0.082,
1992-04,-0.208,
1992-07,2.474,
1992-10,-0.894,
1993-01,-0.209,
1993-04,2.578,
1993-07,-3.635,
1993-10,2.979,
1994-01,-6.623,
1994-04,22.621,
1994-07,4.070,
1994-10,-37.063,
1995-01,-9.751,
1995-04,59.184,
1995-07,12.721,
1995-10,-1.519,
1996-01,-8.848,
1996-04,-34.133,
1996-07,52.380,
1996-10,-34.514,
1997-01,-17.848,
1997-04,-45.838,
1997-07,77.174,
1997-10,-20.970,
1998-01,1.516,
1998-04,-17.977,
1998-07,121.724,
1998-10,-75.998,
1999-01,-8.565,
1999-04,89.283,
1999-07,84.606,
1999-10,-35.117,
2000-01,-48.869,
2000-04,-53.876,
2000-07,110.075,
2000-10,-39.301,
2001-01,101.553,
2001-04,-29.584,
2001-07,761.655,
2001-10,698.571,
2002-01,181.528,
2002-04,321.959,
2002-07,-8.463,
2002-10,73.775,
2003-01,-34.675,
2003-04,-14.242,
2003-07,-166.521,
2003-10,-87.466,
2004-01,-131.889,
2004-04,-149.194,
2004-07,-179.436,
2004-10,-141.843,
2005-01,-199.961,
2005-04,-98.242,
2005-07,-180.444,
2005-10,-22.327,
2006-01,-123.293,
2006-04,-18.007,
2006-07,-142.008,
2006-10,-60.833,
2007-01,41.253,
2007-04,-99.444,
2007-07,-68.740,
2007-10,-94.131,
2008-01,63.394,
2008-04,180.034,
2008-07,-283.630,
2008-10,-213.330,
2009-01,30.137,
2009-04,-233.637,
2009-07,-450.397,
2009-10,-411.516,
2010-01,-255.058,
2010-04,-320.742,
2010-07,-331.284,
2010-10,-316.712,
2011-01,-72.081,
2011-04,-373.699,
2011-07,-54.483,
2011-10,-101.171,
2012-01,78.069,
2012-04,-195.502,
2012-07,-151.405,
2012-10,-252.880,
2013-01,-76.575,
2013-04,59.293,
2013-07,-172.115,
2013-10,-287.561,
2014-01,-248.330,Provisional value
2014-04,-83.819,Provisional value
2014-07,-113.435,Provisional value
2014-10,-165.172,Provisional value
