"",BBK01.CEHB30,BBK01.CEHB30_FLAGS
"",Long-term debt securities debtor: Monetary financial institutions                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:00,
1991-01,22.6,
1991-04,15.4,
1991-07,14.6,
1991-10,13.9,
1992-01,16.6,
1992-04,7.4,
1992-07,16.0,
1992-10,12.6,
1993-01,23.5,
1993-04,11.4,
1993-07,18.2,
1993-10,20.3,
1994-01,11.8,
1994-04,10.1,
1994-07,17.3,
1994-10,20.5,
1995-01,15.5,
1995-04,15.6,
1995-07,24.0,
1995-10,26.2,
1996-01,31.5,
1996-04,21.4,
1996-07,24.4,
1996-10,23.7,
1997-01,42.4,
1997-04,23.6,
1997-07,23.7,
1997-10,7.5,
1998-01,39.9,
1998-04,30.7,
1998-07,35.2,
1998-10,12.0,
1999-01,58.5,
1999-04,40.1,
1999-07,34.9,
1999-10,2.5,
2000-01,26.9,
2000-04,40.7,
2000-07,41.6,
2000-10,-3.5,
2001-01,44.7,
2001-04,21.2,
2001-07,9.3,
2001-10,13.1,
2002-01,27.9,
2002-04,-3.2,
2002-07,-5.0,
2002-10,-26.1,
2003-01,-4.9,
2003-04,2.3,
2003-07,19.6,
2003-10,-0.9,
2004-01,46.4,
2004-04,20.3,
2004-07,24.0,
2004-10,-21.5,
2005-01,32.1,
2005-04,51.4,
2005-07,-7.1,
2005-10,-15.9,
2006-01,18.9,
2006-04,1.3,
2006-07,2.3,
2006-10,-0.5,
2007-01,19.1,
2007-04,13.1,
2007-07,-23.7,
2007-10,-25.6,
2008-01,-20.9,
2008-04,18.5,
2008-07,-2.3,
2008-10,-66.1,
2009-01,10.0,
2009-04,-4.2,
2009-07,-24.7,
2009-10,-51.6,
2010-01,-0.7,
2010-04,-13.5,
2010-07,-53.5,
2010-10,-8.4,
2011-01,-29.7,
2011-04,-9.3,
2011-07,-13.6,
2011-10,-7.1,
2012-01,-38.0,
2012-04,-5.5,
2012-07,-12.1,
2012-10,-41.0,
2013-01,-29.9,
2013-04,-36.9,
2013-07,-25.7,
2013-10,-23.9,
2014-01,-27.3,
