"",BBSF2.M.1.T.00000.GEM01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEM01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Mixed securities funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:34,
2009-09,158205,
2009-10,158881,
2009-11,160099,
2009-12,160798,
2010-01,165879,
2010-02,166430,
2010-03,167192,
2010-04,161065,
2010-05,160056,
2010-06,162325,
2010-07,164691,
2010-08,169086,
2010-09,167790,
2010-10,170192,
2010-11,166496,
2010-12,172573,
2011-01,171756,
2011-02,172629,
2011-03,172725,
2011-04,172275,
2011-05,173727,
2011-06,172703,
2011-07,174453,
2011-08,174319,
2011-09,172308,
2011-10,171734,
2011-11,165747,
2011-12,166023,
2012-01,162994,
2012-02,169460,
2012-03,170899,
2012-04,172457,
2012-05,173678,
2012-06,172053,
2012-07,175550,
2012-08,176842,
2012-09,178272,
2012-10,178376,
2012-11,182363,
2012-12,184313,
2013-01,183403,
2013-02,187892,
2013-03,190636,
2013-04,193660,
2013-05,193695,
2013-06,192637,
2013-07,195099,
2013-08,195442,
2013-09,197170,
2013-10,197266,
2013-11,198198,
2013-12,198325,
2014-01,201781,
2014-02,202984,
2014-03,204506,
2014-04,205651,
2014-05,209023,
2014-06,211947,
2014-07,216272,
2014-08,230562,
2014-09,232663,
2014-10,234426,
2014-11,237458,
