"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.DE.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.DE.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Germany / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:52,
2009-09,60209,
2009-10,59817,
2009-11,59978,
2009-12,60635,
2010-01,61214,
2010-02,62044,
2010-03,62793,
2010-04,65960,
2010-05,67380,
2010-06,67482,
2010-07,66804,
2010-08,69349,
2010-09,67972,
2010-10,66147,
2010-11,66822,
2010-12,68508,
2011-01,66336,
2011-02,66491,
2011-03,65059,
2011-04,64553,
2011-05,65765,
2011-06,65733,
2011-07,68337,
2011-08,70519,
2011-09,70986,
2011-10,71034,
2011-11,71013,
2011-12,72358,
2012-01,68261,
2012-02,66724,
2012-03,65066,
2012-04,64340,
2012-05,65686,
2012-06,63815,
2012-07,63660,
2012-08,63717,
2012-09,62394,
2012-10,61868,
2012-11,60880,
2012-12,60640,
2013-01,59197,
2013-02,60756,
2013-03,60993,
2013-04,60148,
2013-05,59562,
2013-06,60067,
2013-07,59951,
2013-08,60170,
2013-09,59553,
2013-10,58828,
2013-11,58293,
2013-12,58194,
2014-01,58144,
2014-02,58152,
2014-03,58146,
2014-04,56734,
2014-05,57449,
2014-06,57887,
2014-07,58700,
2014-08,59927,
2014-09,59625,
2014-10,60082,
2014-11,60702,
