"",BBK01.OECL07Q,BBK01.OECL07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:02,
2002-01,0.597,
2002-04,0.488,
2002-07,0.487,
2002-10,0.536,
2003-01,0.512,
2003-04,0.484,
2003-07,0.545,
2003-10,0.548,
2004-01,0.520,
2004-04,0.507,
2004-07,0.626,
2004-10,1.483,
2005-01,3.105,
2005-04,3.051,
2005-07,3.046,
2005-10,3.040,
2006-01,3.080,
2006-04,3.019,
2006-07,2.945,
2006-10,2.903,
2007-01,2.936,
2007-04,2.891,
2007-07,2.803,
2007-10,2.825,
2008-01,2.806,
2008-04,2.860,
2008-07,2.787,
2008-10,2.837,
2009-01,3.034,
2009-04,3.173,
2009-07,3.335,
2009-10,3.435,
2010-01,3.535,
2010-04,3.507,
2010-07,3.565,
2010-10,3.609,
2011-01,3.560,
2011-04,3.483,
2011-07,3.455,
2011-10,3.445,
2012-01,3.633,
2012-04,3.547,
2012-07,3.526,
2012-10,3.604,
2013-01,3.528,
2013-04,3.465,
2013-07,3.388,
2013-10,3.373,
2014-01,3.331,
2014-04,3.276,
2014-07,3.330,
