"",BBK01.CEH0Q3,BBK01.CEH0Q3_FLAGS
"",Acquisition of financial assets  (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:42,
1991-01,27.3,
1991-04,29.9,
1991-07,42.6,
1991-10,89.7,
1992-01,28.1,
1992-04,39.6,
1992-07,83.5,
1992-10,58.4,
1993-01,45.7,
1993-04,55.0,
1993-07,56.8,
1993-10,135.3,
1994-01,20.9,
1994-04,28.1,
1994-07,37.1,
1994-10,103.2,
1995-01,37.7,
1995-04,62.4,
1995-07,73.5,
1995-10,106.5,
1996-01,61.4,
1996-04,49.5,
1996-07,43.5,
1996-10,121.2,
1997-01,83.0,
1997-04,62.8,
1997-07,63.7,
1997-10,103.3,
1998-01,95.6,
1998-04,101.2,
1998-07,64.4,
1998-10,134.3,
1999-01,126.3,
1999-04,69.2,
1999-07,86.6,
1999-10,106.1,
2000-01,119.1,
2000-04,34.2,
2000-07,67.2,
2000-10,85.5,
2001-01,178.2,
2001-04,-22.8,
2001-07,28.3,
2001-10,2.3,
2002-01,32.6,
2002-04,41.4,
2002-07,70.9,
2002-10,35.1,
2003-01,74.3,
2003-04,28.0,
2003-07,-1.7,
2003-10,33.2,
2004-01,87.4,
2004-04,-4.3,
2004-07,80.8,
2004-10,42.8,
2005-01,95.1,
2005-04,67.7,
2005-07,43.6,
2005-10,-20.3,
2006-01,115.6,
2006-04,54.7,
2006-07,69.9,
2006-10,63.9,
2007-01,83.6,
2007-04,116.5,
2007-07,126.4,
2007-10,64.7,
2008-01,126.2,
2008-04,46.7,
2008-07,86.3,
2008-10,-28.7,
2009-01,-10.2,
2009-04,-33.8,
2009-07,-75.9,
2009-10,-62.9,
2010-01,1.5,
2010-04,98.1,
2010-07,-51.9,
2010-10,-57.0,
2011-01,-78.0,
2011-04,10.1,
2011-07,114.5,
2011-10,-46.2,
2012-01,182.9,
2012-04,81.9,
2012-07,-4.4,
2012-10,-126.8,
2013-01,-66.3,
2013-04,-34.9,
2013-07,-119.2,
2013-10,-69.1,
2014-01,5.1,
