"",BBK01.OEBJ04H,BBK01.OEBJ04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:23,
2002-01,5.964,
2002-04,5.751,
2002-07,6.603,
2002-10,6.590,
2003-01,6.342,
2003-04,6.308,
2003-07,6.472,
2003-10,7.543,
2004-01,8.242,
2004-04,7.832,
2004-07,7.621,
2004-10,8.672,
2005-01,7.091,
2005-04,6.330,
2005-07,6.908,
2005-10,7.935,
2006-01,7.655,
2006-04,7.761,
2006-07,9.704,
2006-10,9.429,
2007-01,10.659,
2007-04,10.475,
2007-07,12.062,
2007-10,14.015,
2008-01,13.612,
2008-04,13.115,
2008-07,14.676,
2008-10,14.637,
2009-01,12.074,
2009-04,26.640,
2009-07,15.450,
2009-10,15.710,
2010-01,14.054,
2010-04,12.940,
2010-07,13.340,
2010-10,12.144,
2011-01,13.648,
2011-04,14.532,
2011-07,27.100,
2011-10,28.953,
2012-01,24.268,
2012-04,20.135,
2012-07,27.952,
2012-10,19.191,
2013-01,22.447,
2013-04,28.236,
2013-07,7.894,
2013-10,8.350,
2014-01,8.892,
2014-04,8.761,
2014-07,8.749,
