"",BBK01.OEBO03L,BBK01.OEBO03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:47,
2002-01,-3.037,
2002-04,-7.869,
2002-07,-1.020,
2002-10,-1.134,
2003-01,-1.409,
2003-04,-1.327,
2003-07,-1.395,
2003-10,-1.430,
2004-01,-2.104,
2004-04,-1.267,
2004-07,-1.182,
2004-10,-1.309,
2005-01,1.280,
2005-04,1.309,
2005-07,-1.509,
2005-10,-2.415,
2006-01,-2.011,
2006-04,-1.580,
2006-07,-1.455,
2006-10,-1.496,
2007-01,-1.816,
2007-04,-1.114,
2007-07,-0.429,
2007-10,-0.519,
2008-01,-0.897,
2008-04,-1.230,
2008-07,-1.217,
2008-10,-1.564,
2009-01,-1.191,
2009-04,-0.992,
2009-07,0.395,
2009-10,1.590,
2010-01,5.962,
2010-04,6.958,
2010-07,3.284,
2010-10,4.576,
2011-01,2.581,
2011-04,3.592,
2011-07,1.296,
2011-10,1.321,
2012-01,1.448,
2012-04,1.055,
2012-07,1.367,
2012-10,1.254,
2013-01,1.643,
2013-04,1.010,
2013-07,0.944,
2013-10,0.855,
2014-01,0.878,
2014-04,0.695,
2014-07,0.781,
