"",BBK01.OEAF05S,BBK01.OEAF05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:50,
2002-01,1.561,
2002-04,1.593,
2002-07,1.647,
2002-10,1.635,
2003-01,1.617,
2003-04,1.640,
2003-07,1.601,
2003-10,1.577,
2004-01,1.651,
2004-04,1.659,
2004-07,1.575,
2004-10,1.551,
2005-01,1.536,
2005-04,1.557,
2005-07,1.542,
2005-10,1.457,
2006-01,1.430,
2006-04,1.451,
2006-07,1.465,
2006-10,1.459,
2007-01,1.427,
2007-04,1.449,
2007-07,1.457,
2007-10,1.424,
2008-01,1.411,
2008-04,1.445,
2008-07,1.483,
2008-10,1.490,
2009-01,1.477,
2009-04,1.506,
2009-07,1.566,
2009-10,1.807,
2010-01,1.564,
2010-04,1.581,
2010-07,1.661,
2010-10,1.595,
2011-01,1.584,
2011-04,1.598,
2011-07,1.626,
2011-10,1.638,
2012-01,1.622,
2012-04,1.635,
2012-07,1.634,
2012-10,1.598,
2013-01,1.579,
2013-04,1.597,
2013-07,1.629,
2013-10,1.622,
2014-01,1.626,
2014-04,1.663,
2014-07,1.683,
