"",BBFB1.Q.N.DE.JP.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:06,
1991-01,1895.587,
1991-04,1570.807,
1991-07,1854.800,
1991-10,2125.683,
1992-01,1710.999,
1992-04,1011.259,
1992-07,1231.328,
1992-10,1757.790,
1993-01,1438.037,
1993-04,1337.280,
1993-07,1638.992,
1993-10,2407.832,
1994-01,1673.059,
1994-04,2241.128,
1994-07,2113.218,
1994-10,2325.690,
1995-01,2114.814,
1995-04,2018.777,
1995-07,2129.015,
1995-10,2489.097,
1996-01,2490.385,
1996-04,2331.797,
1996-07,2349.089,
1996-10,2673.759,
1997-01,2488.307,
1997-04,2209.217,
1997-07,2424.318,
1997-10,2305.656,
1998-01,2156.038,
1998-04,1826.221,
1998-07,1909.216,
1998-10,2060.289,
1999-01,1835.123,
1999-04,2196.017,
1999-07,2343.489,
1999-10,2731.718,
2000-01,2625.428,
2000-04,2825.721,
2000-07,2946.154,
2000-10,3065.767,
2001-01,2853.212,
2001-04,2701.180,
2001-07,2573.565,
2001-10,2809.462,
2002-01,2536.988,
2002-04,2782.313,
2002-07,2779.987,
2002-10,2745.024,
2003-01,2471.266,
2003-04,2346.643,
2003-07,2775.922,
2003-10,2902.476,
2004-01,2724.514,
2004-04,2411.581,
2004-07,2897.985,
2004-10,2760.408,
2005-01,3156.146,
2005-04,2634.692,
2005-07,2949.901,
2005-10,3058.749,
2006-01,3079.368,
2006-04,2605.950,
2006-07,3064.464,
2006-10,3191.995,
2007-01,2902.219,
2007-04,2629.680,
2007-07,2911.688,
2007-10,2744.560,
2008-01,2838.689,
2008-04,2468.638,
2008-07,2802.691,
2008-10,2717.339,
2009-01,2254.554,
2009-04,2056.720,
2009-07,2524.522,
2009-10,2661.562,
2010-01,2517.687,
2010-04,2686.626,
2010-07,2832.942,
2010-10,2783.460,
2011-01,3053.740,
2011-04,2698.745,
2011-07,3495.275,
2011-10,3597.744,
2012-01,3747.313,
2012-04,3262.928,
2012-07,3806.773,
2012-10,3819.467,
2013-01,3568.189,
2013-04,3503.865,
2013-07,4132.420,
2013-10,4269.671,
2014-01,4048.710,Provisional value
2014-04,3506.003,Provisional value
2014-07,4303.203,Provisional value
