"",BBK01.OEAH49Q,BBK01.OEAH49Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:15,
2002-01,0.020,
2002-04,0.018,
2002-07,0.014,
2002-10,0.015,
2003-01,0.014,
2003-04,0.012,
2003-07,0.013,
2003-10,0.015,
2004-01,0.017,
2004-04,0.019,
2004-07,0.024,
2004-10,0.025,
2005-01,0.025,
2005-04,0.025,
2005-07,0.024,
2005-10,0.027,
2006-01,0.024,
2006-04,0.023,
2006-07,0.023,
2006-10,0.025,
2007-01,0.024,
2007-04,0.023,
2007-07,0.025,
2007-10,0.026,
2008-01,0.027,
2008-04,0.025,
2008-07,0.026,
2008-10,0.042,
2009-01,0.047,
2009-04,0.049,
2009-07,0.062,
2009-10,0.071,
2010-01,0.079,
2010-04,0.086,
2010-07,0.088,
2010-10,0.090,
2011-01,0.098,
2011-04,0.100,
2011-07,0.098,
2011-10,0.106,
2012-01,0.107,
2012-04,0.107,
2012-07,0.107,
2012-10,0.101,
2013-01,0.105,
2013-04,0.104,
2013-07,0.103,
2013-10,0.089,
2014-01,0.079,
2014-04,0.075,
2014-07,0.066,
