"",BBEX3.A.CNY.USD.CA.AC.A04,BBEX3.A.CNY.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in China / USD 1 = CNY ... (middle),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:32,
1986,3.4547,
1987,3.7221,
1988,3.7221,
1989,3.7659,
1990,4.7837,
1991,5.3256,
1992,5.5212,comment
1993,5.7641,comment
1994,8.6189,
1995,8.3507,
1996,8.3142,
1997,8.2898,
1998,8.2790,
1999,8.2783,
2000,8.2784,
2001,8.2770,
2002,8.2769,
2003,8.2771,
2004,8.2768,
2005,8.1902,
2006,7.9725,
2007,7.6064,
2008,6.9458,
2009,6.8310,
2010,6.7691,
2011,6.4586,
2012,6.3128,
2013,6.1932,
2014,6.1429,
"","General: In addition to the official exchange rates, swap market exchange rates existed from August 1992 to December 1993; we do not have any data for these rates or information about their application. The exchange rate system was unified on 1 January 1994 on the basis of the swap market rates.",
"","Source: People's Bank of China, Peking (Central Bank).",
"",Methodology: From 1986 to 1990 calculated on the basis of daily buying and selling rates; from 1991 to 1993 calculated on the basis of mid-month and month-end buying and selling rates; 1994 calculated on the basis of monthly averages (from January to March 1994 only mid-month and month-end rates) and from 1995 on the basis of daily middle rates.,
