"",BBK01.OEAE34T,BBK01.OEAE34T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:15,
2002-01,0.535,
2002-04,0.542,
2002-07,0.551,
2002-10,0.546,
2003-01,0.543,
2003-04,0.548,
2003-07,0.546,
2003-10,0.545,
2004-01,0.546,
2004-04,0.575,
2004-07,0.566,
2004-10,0.587,
2005-01,0.592,
2005-04,0.601,
2005-07,0.603,
2005-10,0.610,
2006-01,0.597,
2006-04,0.599,
2006-07,0.600,
2006-10,0.595,
2007-01,0.600,
2007-04,0.609,
2007-07,0.612,
2007-10,0.629,
2008-01,0.617,
2008-04,0.624,
2008-07,0.620,
2008-10,0.623,
2009-01,0.618,
2009-04,0.650,
2009-07,0.656,
2009-10,0.633,
2010-01,0.671,
2010-04,0.681,
2010-07,0.755,
2010-10,0.737,
2011-01,0.746,
2011-04,0.745,
2011-07,0.762,
2011-10,0.771,
2012-01,0.778,
2012-04,0.926,
2012-07,0.961,
2012-10,0.955,
2013-01,0.993,
2013-04,0.987,
2013-07,0.997,
2013-10,0.993,
2014-01,1.009,
2014-04,1.009,
2014-07,0.958,
