"",BBK01.OEAH43S,BBK01.OEAH43S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:22,
2002-01,1.220,
2002-04,1.218,
2002-07,1.230,
2002-10,1.229,
2003-01,1.163,
2003-04,1.154,
2003-07,1.213,
2003-10,1.283,
2004-01,1.223,
2004-04,1.247,
2004-07,1.296,
2004-10,1.341,
2005-01,1.275,
2005-04,1.291,
2005-07,1.348,
2005-10,1.416,
2006-01,1.408,
2006-04,1.357,
2006-07,1.394,
2006-10,1.497,
2007-01,1.519,
2007-04,1.551,
2007-07,1.588,
2007-10,1.624,
2008-01,1.538,
2008-04,1.550,
2008-07,1.698,
2008-10,1.771,
2009-01,1.651,
2009-04,1.686,
2009-07,1.781,
2009-10,1.881,
2010-01,1.800,
2010-04,1.859,
2010-07,1.961,
2010-10,2.036,
2011-01,1.926,
2011-04,1.972,
2011-07,2.049,
2011-10,2.174,
2012-01,2.062,
2012-04,2.114,
2012-07,2.216,
2012-10,2.276,
2013-01,2.188,
2013-04,2.219,
2013-07,2.377,
2013-10,2.456,
2014-01,2.392,
2014-04,2.426,
2014-07,2.577,
