"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.FI.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.FI.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Finland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:16,
2009-09,6143,
2009-10,6004,
2009-11,6288,
2009-12,6537,
2010-01,6975,
2010-02,7151,
2010-03,7597,
2010-04,7367,
2010-05,7398,
2010-06,7416,
2010-07,7559,
2010-08,7734,
2010-09,7797,
2010-10,7774,
2010-11,8109,
2010-12,8373,
2011-01,8307,
2011-02,8038,
2011-03,8036,
2011-04,8467,
2011-05,8764,
2011-06,8576,
2011-07,8966,
2011-08,9326,
2011-09,9242,
2011-10,9542,
2011-11,9357,
2011-12,9409,
2012-01,9761,
2012-02,10048,
2012-03,10215,
2012-04,10492,
2012-05,10586,
2012-06,10655,
2012-07,11064,
2012-08,11205,
2012-09,11229,
2012-10,11037,
2012-11,11159,
2012-12,11327,
2013-01,11423,
2013-02,11562,
2013-03,11323,
2013-04,11477,
2013-05,11418,
2013-06,11378,
2013-07,11501,
2013-08,11789,
2013-09,11976,
2013-10,12152,
2013-11,12152,
2013-12,12237,
2014-01,12414,
2014-02,12942,
2014-03,12985,
2014-04,13238,
2014-05,13623,
2014-06,13596,
2014-07,13411,
2014-08,13558,
2014-09,13708,
2014-10,13750,
2014-11,13781,
