"",BBEX3.M.BDT.EUR.CA.AB.A01,BBEX3.M.BDT.EUR.CA.AB.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Bangladesh * / EUR 1 = BDT ... (selling),
unit,BDT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:58,
1999-01,55.3102,
1999-02,53.6464,
1999-03,52.1090,
1999-04,51.9241,
1999-05,50.5499,
1999-06,50.2408,
1999-07,52.9319,
1999-08,52.1126,
1999-09,52.8325,
1999-10,52.3708,
1999-11,51.6359,
1999-12,51.5182,
2000-01,50.1321,
2000-02,49.6360,
2000-03,48.7971,
2000-04,46.6232,
2000-05,47.6616,
2000-06,48.2243,
2000-07,47.2780,
2000-08,48.4209,
2000-09,47.8578,
2000-10,45.5726,
2000-11,46.4661,
2000-12,51.0364,
2001-01,50.2024,
2001-02,49.6555,
2001-03,48.0310,
2001-04,48.2747,
2001-05,49.2372,
2001-06,48.8750,
2001-07,50.3585,
2001-08,52.2100,
2001-09,52.3365,
2001-10,52.1295,
2001-11,51.0255,
2001-12,50.8070,
2002-01,50.4401,
2002-02,50.5218,
2002-03,50.9482,
2002-04,52.6067,
2002-05,54.8201,
2002-06,58.2540,
2002-07,57.1327,
2002-08,57.4247,
2002-09,57.5824,
2002-10,57.6058,
2002-11,57.9737,
2002-12,61.2441,
2003-01,63.1654,
2003-02,62.9669,
2003-03,63.6268,
2003-04,65.0050,
2003-05,69.0405,
2003-06,67.9434,
2003-07,67.3393,
2003-08,65.1015,
2003-09,68.9900,
2003-10,69.2662,
2003-11,70.7402,
2003-12,74.6355,
2004-01,74.0814,
2004-02,75.0046,
2004-03,73.3126,
2004-04,71.3745,
2004-05,76.4775,
2004-06,75.5072,
2004-07,73.6160,
2004-08,72.7790,
2004-09,74.5492,
2004-10,77.3791,
2004-11,81.0220,
2004-12,84.7766,
2005-01,83.7464,
2005-02,85.8684,
2005-03,83.4100,
2005-04,83.4960,
2005-05,80.6380,
2005-06,79.6287,
2005-07,82.8046,
2005-08,82.7826,
2005-09,81.4460,
2005-10,81.1311,
2005-11,80.1849,
2005-12,81.6009,
2006-01,84.6837,
2006-02,85.5201,
2006-03,87.6849,
2006-04,90.3040,
2006-05,91.7113,
2006-06,89.6309,
2006-07,91.1066,
2006-08,91.2542,
2006-09,88.1775,
2006-10,89.0309,
2006-11,92.1784,
2006-12,93.3629,
2007-01,91.5750,
2007-02,93.1084,
2007-03,93.3550,
2007-04,96.5552,
2007-05,94.5061,
2007-06,94.3894,
2007-07,95.6304,
2007-08,95.3161,
2007-09,100.8695,
2007-10,101.5577,
2007-11,104.0400,
2007-12,102.0066,
2008-01,104.4933,
2008-02,106.0238,
2008-03,110.6374,
2008-04,108.2051,
2008-05,110.0956,
2008-06,110.6404,
2008-07,109.0654,
2008-08,103.1325,
2008-09,100.4854,
2008-10,93.4580,
2008-11,88.3969,
2008-12,99.6038,
2009-01,92.3897,
2009-02,90.0024,
2009-03,93.8331,
2009-04,94.2916,
2009-05,100.0620,
2009-06,100.1036,
2009-07,99.4775,
2009-08,101.1290,
2009-09,103.3772,
2009-10,104.2993,
2009-11,106.5461,
2009-12,101.0395,
2010-01,98.5933,
2010-02,97.0710,
2010-03,94.5798,
2010-04,93.4022,
2010-05,87.1405,
2010-06,86.7660,
2010-07,92.4627,
2010-08,90.3838,
2010-09,97.8072,
2010-10,100.0718,
2010-11,95.9483,
2010-12,96.0598,
2011-01,101.5685,
2011-02,102.7509,
2011-03,105.4329,
2011-04,111.9444,
2011-05,108.2552,
2011-06,109.7207,
2011-07,108.2625,
2011-08,109.6170,
2011-09,104.3933,
2011-10,107.7407,
2011-11,106.3808,
2011-12,107.1990,
2012-01,113.9043,
2012-02,112.1280,
2012-03,110.5804,
2012-04,108.6958,
2012-05,103.5828,
2012-06,103.5915,
2012-07,103.2163,
2012-08,104.1923,
2012-09,107.1580,
2012-10,107.3661,
2012-11,107.8826,
2012-12,107.9037,
2013-01,109.5428,
2013-02,105.0414,
2013-03,102.2882,
2013-04,103.2755,
2013-05,102.6435,
2013-06,103.0559,
2013-07,104.8091,
2013-08,106.9539,
2013-09,107.0634,
2013-10,109.0095,
2013-11,107.6533,
2013-12,108.7266,
2014-01,107.8047,
2014-02,108.7740,
2014-03,108.2640,
2014-04,109.0821,
2014-05,107.2067,
2014-06,107.2612,
2014-07,105.2858,
2014-08,103.1406,
2014-09,99.6371,
2014-10,99.0680,
2014-11,99.9151,
2014-12,97.0615,
2015-01,89.3049,
"","General: Units of account for larger amounts: 1 lakh (in digits: 1,00,000) = 100,000 taka; 1 crore (in digits: 1,00,00,000) = 100 lakh = 10,000,000 taka.",
"","Source: Since August 2010: The Hongkong and Shanghai Banking Corporation Limited, Dhaka. June 2003 - July 2010: Standard Chartered Bank, Dhaka. January 1999 - May 2003: Bangladesh Bank, Dhaka.",
"","Methodology: * From January 2002 to May 2003, we did not record any exchange rates for the euro in Bangladesh. The reported comparable rates were calculated on the basis of the exchange rates for the US dollar in Bangladesh in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
