"",BBK01.OELI06N,BBK01.OELI06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:00,
2002-01,6.153,
2002-04,6.191,
2002-07,6.195,
2002-10,6.078,
2003-01,5.942,
2003-04,5.873,
2003-07,5.773,
2003-10,5.860,
2004-01,5.915,
2004-04,5.858,
2004-07,5.827,
2004-10,5.740,
2005-01,5.587,
2005-04,5.472,
2005-07,5.439,
2005-10,5.314,
2006-01,5.260,
2006-04,5.212,
2006-07,5.154,
2006-10,5.231,
2007-01,5.204,
2007-04,5.303,
2007-07,5.477,
2007-10,5.461,
2008-01,5.412,
2008-04,5.456,
2008-07,5.589,
2008-10,5.721,
2009-01,5.337,
2009-04,5.075,
2009-07,4.937,
2009-10,4.674,
2010-01,4.699,
2010-04,4.679,
2010-07,4.767,
2010-10,4.747,
2011-01,4.817,
2011-04,4.937,
2011-07,5.035,
2011-10,5.045,
2012-01,4.909,
2012-04,4.774,
2012-07,4.401,
2012-10,4.177,
2013-01,3.891,
2013-04,3.627,
2013-07,3.469,
2013-10,3.329,
2014-01,3.134,
2014-04,2.974,
2014-07,2.846,
