"",BBK01.CEHL03,BBK01.CEHL03_FLAGS
"",Other equity debtor: All sectors                  creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:53,
1991-01,0.9,
1991-04,1.0,
1991-07,1.1,
1991-10,1.4,
1992-01,1.4,
1992-04,0.9,
1992-07,1.3,
1992-10,1.8,
1993-01,2.1,
1993-04,0.8,
1993-07,1.6,
1993-10,4.2,
1994-01,0.0,
1994-04,1.5,
1994-07,1.6,
1994-10,1.9,
1995-01,2.1,
1995-04,0.8,
1995-07,1.7,
1995-10,1.7,
1996-01,3.1,
1996-04,2.6,
1996-07,1.5,
1996-10,2.9,
1997-01,3.8,
1997-04,5.3,
1997-07,4.6,
1997-10,4.7,
1998-01,5.8,
1998-04,4.3,
1998-07,5.8,
1998-10,6.7,
1999-01,3.2,
1999-04,7.3,
1999-07,1.8,
1999-10,7.6,
2000-01,2.3,
2000-04,3.4,
2000-07,4.8,
2000-10,3.9,
2001-01,2.9,
2001-04,1.7,
2001-07,0.4,
2001-10,5.2,
2002-01,-3.3,
2002-04,1.1,
2002-07,-2.2,
2002-10,6.5,
2003-01,-2.0,
2003-04,0.7,
2003-07,1.8,
2003-10,-3.1,
2004-01,2.9,
2004-04,0.2,
2004-07,0.1,
2004-10,5.2,
2005-01,7.2,
2005-04,4.1,
2005-07,5.2,
2005-10,4.8,
2006-01,4.7,
2006-04,0.0,
2006-07,13.1,
2006-10,10.4,
2007-01,-8.9,
2007-04,1.0,
2007-07,-6.0,
2007-10,-7.3,
2008-01,-2.7,
2008-04,-12.5,
2008-07,-3.1,
2008-10,-6.9,
2009-01,-3.4,
2009-04,0.8,
2009-07,1.9,
2009-10,-6.4,
2010-01,8.2,
2010-04,-6.3,
2010-07,-4.5,
2010-10,-11.5,
2011-01,0.2,
2011-04,-0.7,
2011-07,-4.3,
2011-10,-4.6,
2012-01,-3.0,
2012-04,-2.5,
2012-07,2.5,
2012-10,2.6,
2013-01,1.0,
2013-04,-1.1,
2013-07,-0.5,
2013-10,0.1,
2014-01,-0.2,
