"",BBK01.OEAB12R,BBK01.OEAB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:19,
2002-01,4.006,
2002-04,3.993,
2002-07,4.022,
2002-10,4.064,
2003-01,4.116,
2003-04,4.102,
2003-07,4.087,
2003-10,4.186,
2004-01,4.120,
2004-04,4.087,
2004-07,4.061,
2004-10,4.114,
2005-01,4.114,
2005-04,4.066,
2005-07,4.110,
2005-10,4.072,
2006-01,4.180,
2006-04,4.277,
2006-07,4.297,
2006-10,4.380,
2007-01,4.366,
2007-04,4.091,
2007-07,4.095,
2007-10,4.250,
2008-01,7.449,
2008-04,4.598,
2008-07,4.625,
2008-10,4.881,
2009-01,4.873,
2009-04,4.961,
2009-07,5.056,
2009-10,5.351,
2010-01,5.480,
2010-04,5.588,
2010-07,5.777,
2010-10,5.905,
2011-01,6.036,
2011-04,6.132,
2011-07,6.222,
2011-10,6.441,
2012-01,6.584,
2012-04,6.698,
2012-07,6.977,
2012-10,7.239,
2013-01,7.282,
2013-04,7.429,
2013-07,7.546,
2013-10,7.766,
2014-01,7.867,
2014-04,7.811,
2014-07,7.882,
