"",BBSF2.M.1.T.00000.REN01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.REN01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Bonds funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:25,
2009-09,3821,
2009-10,3821,
2009-11,3641,
2009-12,1222,
2010-01,2630,
2010-02,1541,
2010-03,1138,
2010-04,1285,
2010-05,1502,
2010-06,1689,
2010-07,1497,
2010-08,1268,
2010-09,1347,
2010-10,1093,
2010-11,1277,
2010-12,1200,
2011-01,1084,
2011-02,1899,
2011-03,1204,
2011-04,1177,
2011-05,1056,
2011-06,1029,
2011-07,1322,
2011-08,1254,
2011-09,1714,
2011-10,1575,
2011-11,1618,
2011-12,1635,
2012-01,1365,
2012-02,1273,
2012-03,1490,
2012-04,2062,
2012-05,2203,
2012-06,2375,
2012-07,2329,
2012-08,2069,
2012-09,1619,
2012-10,2061,
2012-11,2011,
2012-12,1965,
2013-01,2012,
2013-02,2425,
2013-03,2626,
2013-04,2434,
2013-05,2692,
2013-06,3222,
2013-07,3587,
2013-08,3204,
2013-09,2940,
2013-10,3480,
2013-11,2543,
2013-12,2117,
2014-01,2499,
2014-02,2554,
2014-03,2655,
2014-04,2799,
2014-05,4260,
2014-06,4067,
2014-07,4578,
2014-08,4485,
2014-09,4041,
2014-10,2568,
2014-11,2169,
