"",BBK01.OEYM04K,BBK01.OEYM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:51,
2002-01,0.731,
2002-04,0.739,
2002-07,0.214,
2002-10,0.242,
2003-01,0.082,
2003-04,0.217,
2003-07,0.288,
2003-10,0.284,
2004-01,0.028,
2004-04,0.147,
2004-07,2.270,
2004-10,0.005,
2005-01,0.003,
2005-04,0.004,
2005-07,0.005,
2005-10,0.001,
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,0.010,
2008-07,0.026,
2008-10,0.005,
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,0.015,
2010-04,0.071,
2010-07,0.083,
2010-10,0.025,
2011-01,0.025,
2011-04,0.064,
2011-07,0.021,
2011-10,-,Nothing exists
2012-01,0.010,
2012-04,0.010,
2012-07,0.010,
2012-10,0.021,
2013-01,0.046,
2013-04,0.051,
2013-07,0.038,
2013-10,0.039,
2014-01,0.046,
2014-04,0.030,
2014-07,0.024,
